channel,channel_type,R2_v_R,R2_v_Y,R2_v_B,R2_aggregate
RGB_R,raw,0.3258241994161357,0.1579326804906147,0.93744527157001,0.9474681009845068
RGB_G,raw,0.9407874214467571,0.3461270673541835,0.14563101623319963,0.9550303366894268
RGB_B,raw,0.20972759083616577,0.20685648881329632,0.833158265348197,0.833161563331773
LAB_L,raw,0.23740995904246165,0.8285996904551375,0.17895199957049157,0.8299744327120606
LAB_A,raw,0.7445883328550099,0.001338826335797516,0.6827805212960221,0.9524717869912196
LAB_B,raw,0.05496161522001952,0.5006401052519777,0.8873606017612212,0.9619748814888124
HSV_H,raw,0.6322495658949452,0.004870382311942922,0.7481027775539231,0.923481817173874
HSV_S,raw,0.21433474039900946,0.21205692977018242,0.8527772561924678,0.8527792842411065
HSV_V,raw,0.34375003033262563,0.14568706255083186,0.9370080131672475,0.9509634040338035
R',normalized,0.6452038099217866,0.0036774181096040914,0.5514608158993959,0.800228029287191
G',normalized,0.5350064112881294,0.021612885399084125,0.771682378176768,0.8855344499093212
B',normalized,0.018851603924304072,0.10479817731342433,0.21254553435792278,0.22413021039710046
L',normalized,0.23740601617112533,0.828596875605345,0.1789541146524466,0.8299713376192779
C',normalized,0.6643590298314537,0.005292154741310173,0.7882410794146915,0.971928175991637
h',normalized,0.6160418481431159,0.005576377738051086,0.7388407842510146,0.9069726734214544
H',normalized,0.6322522031616105,0.004870184661648347,0.7481031966530931,0.9234837229842346
S',normalized,0.2143344874021753,0.21205667515168203,0.8527762409458914,0.8527782689998323
V',normalized,0.34374937261946803,0.14568817295631453,0.937009743335249,0.9509648592740212
