channel,channel_type,norm_std,coef_v_R,coef_v_Y,coef_v_B,max_abs_coef
B',normalized,0.07110586509037499,0.09153409546733925,0.21581697730914304,-0.3073510727764823,0.3073510727764823
C',normalized,0.023795672141808437,0.5433881484952454,0.04849813165386546,-0.5918862801491109,0.5918862801491109
G',normalized,0.027031105652102885,-0.4876275497130662,-0.09800881003275896,0.5856363597458253,0.5856363597458253
H',normalized,0.007828351050139203,-0.5300952548202429,-0.046524472230087155,0.57661972705033,0.57661972705033
HSV_H,raw,0.0005982638888888888,-0.5300941492456036,-0.04652541628898632,0.5766195655345899,0.5766195655345899
HSV_S,raw,0.0010054166666666666,0.30864200074160686,0.3069975966392949,-0.6156395973809019,0.6156395973809019
HSV_V,raw,0.0014491666666666667,0.39086799723045235,0.25445983097170244,-0.645327828202155,0.645327828202155
L',normalized,0.020129635871263773,-0.32482885488352886,0.6068486450893831,-0.2820197902058541,0.6068486450893831
LAB_A,raw,0.0012151960784313725,0.5752635465033051,-0.024393317261518277,-0.5508702292417869,0.5752635465033051
LAB_B,raw,0.0004330065359477124,0.1562926247211651,0.4717061727869621,-0.6279987975081273,0.6279987975081273
LAB_L,raw,0.0005966666666666667,-0.32483155227318256,0.6068496758598229,-0.2820181235866404,0.6068496758598229
R',normalized,0.06261139680529311,0.5354971978023112,-0.040427812811391906,-0.49506938499091946,0.5354971978023112
RGB_B,raw,0.000734640522875817,-0.3053068335197422,-0.3032098567829776,0.60851669030272,0.60851669030272
RGB_G,raw,0.0021299019607843137,-0.6466279787213244,0.39221709824715056,0.25441088047417393,0.6466279787213244
RGB_R,raw,0.004496078431372549,0.38054008369166614,0.2649382993081089,-0.6454783829997752,0.6454783829997752
S',normalized,0.013637472717290494,0.30864181858384737,0.3069974123319694,-0.615639230915817,0.615639230915817
V',normalized,0.031195554573967298,0.3908676232971797,0.25446080069766214,-0.645328423994842,0.645328423994842
h',normalized,0.007582400091871073,-0.5232555560646214,-0.04978343204119673,0.5730389881058182,0.5730389881058182
