well_index,group_id,num_replicates,RGB_R_mean,RGB_R_std,RGB_G_mean,RGB_G_std,RGB_B_mean,RGB_B_std,LAB_L_mean,LAB_L_std,LAB_A_mean,LAB_A_std,LAB_B_mean,LAB_B_std,HSV_H_mean,HSV_H_std,HSV_S_mean,HSV_S_std,HSV_V_mean,HSV_V_std
0,1,6,184.148,4.725,95.012,1.923,0.237,0.034,49.706,0.386,30.23,1.885,57.929,0.528,31.532,0.227,99.857,0.049,71.071,1.034
1,1,6,199.155,0.315,102.952,0.291,0.522,0.034,53.938,0.042,33.199,0.082,61.997,0.041,31.025,0.261,99.742,0.017,78.139,0.07
2,1,6,192.501,0.118,100.472,0.174,0.78,0.11,52.411,0.042,32.013,0.041,60.438,0.031,31.658,0.108,99.656,0.054,75.491,0.078
3,1,6,208.691,0.242,91.807,0.133,0.844,0.04,53.183,0.04,42.613,0.191,61.999,0.06,26.203,0.052,99.626,0.029,81.786,0.123
4,1,6,180.955,0.579,89.976,0.366,0.547,0.048,48.484,0.051,32.855,0.144,57.065,0.008,29.923,0.041,99.746,0.023,70.931,0.174
5,1,6,186.043,0.243,96.416,0.275,0.262,0.04,50.608,0.04,31.177,0.226,58.911,0.025,31.017,0.122,99.869,0.025,72.956,0.1
6,2,6,222.097,0.209,66.165,0.155,0.388,0.037,51.244,0.046,58.361,0.138,62.293,0.061,17.983,0.013,99.855,0.015,87.07,0.059
7,2,6,218.431,1.161,51.644,0.627,0.408,0.045,48.768,0.042,61.962,0.132,60.781,0.06,14.11,0.061,99.853,0.017,85.48,0.041
8,2,6,215.099,1.959,42.243,0.987,0.365,0.031,47.302,0.055,64.436,0.152,59.986,0.057,11.647,0.094,99.848,0.014,84.7,0.088
9,2,6,230.491,0.064,49.562,0.342,0.565,0.069,50.879,0.058,66.403,0.127,63.12,0.069,12.49,0.204,99.788,0.02,90.352,0.047
10,2,6,228.711,0.088,48.092,0.191,0.45,0.026,50.416,0.039,66.148,0.114,62.661,0.027,12.138,0.09,99.829,0.02,89.659,0.044
11,2,6,225.283,0.314,45.672,0.138,0.432,0.024,49.536,0.046,65.839,0.054,61.785,0.047,12.049,0.081,99.833,0.016,88.301,0.138
12,3,6,198.5,2.352,138.46,0.661,0.428,0.051,62.035,0.021,14.393,0.374,67.1,0.031,41.688,0.098,99.825,0.012,78.185,0.178
13,3,6,206.42,0.095,144.706,0.096,0.54,0.05,64.517,0.045,13.934,0.134,69.068,0.037,41.985,0.023,99.785,0.02,80.98,0.071
14,3,6,219.41,3.648,140.08,1.806,0.561,0.177,65.026,0.023,22.988,0.095,70.143,0.031,37.814,0.16,99.756,0.026,86.682,0.101
15,3,6,214.694,0.668,140.91,0.426,0.433,0.047,64.567,0.036,19.539,0.204,69.738,0.044,39.632,0.076,99.811,0.025,83.997,0.201
16,3,6,201.278,0.141,132.984,0.155,0.69,0.079,61.008,0.056,18.14,0.038,66.439,0.046,39.963,0.029,99.674,0.018,78.906,0.021
17,3,6,221.011,2.856,140.322,1.418,0.473,0.035,65.274,0.029,23.498,0.19,70.553,0.053,37.8,0.126,99.843,0.019,87.172,0.164
18,4,6,129.784,0.147,135.86,0.095,41.043,0.136,54.547,0.031,-14.624,0.06,48.046,0.076,63.663,0.164,69.7,0.059,53.255,0.074
19,4,6,111.958,0.32,136.518,0.226,50.122,0.757,53.558,0.082,-22.266,0.19,42.486,0.358,76.867,0.319,63.05,0.392,53.542,0.081
20,4,6,90.39,0.091,114.948,0.186,23.716,1.054,45.104,0.05,-22.781,0.077,44.378,0.162,76.08,0.072,79.594,0.384,45.077,0.069
21,4,6,99.165,0.452,130.837,0.264,44.391,0.612,50.762,0.052,-25.249,0.15,41.757,0.173,81.138,0.27,66.099,0.134,51.199,0.078
22,4,6,107.52,2.917,124.541,1.007,34.996,0.577,49.311,0.058,-18.729,0.484,44.281,0.264,70.34,0.268,72.037,0.395,48.663,0.082
23,4,6,101.918,3.812,123.91,1.093,33.639,0.383,48.736,0.062,-21.486,2.155,44.211,0.361,74.998,2.21,73.158,0.63,48.672,0.362
