well_index,group_id,replicate_id,measurement_id,timestamp,RGB_R,RGB_G,RGB_B,LAB_L,LAB_A,LAB_B,HSV_H,HSV_S,HSV_V
0,1,1,well_00_rep_01,2026-02-18T14:15:07.295866,193.733,91.172,0.244,50.303,34.017,58.883,31.288,99.884,71.663
0,1,2,well_00_rep_02,2026-02-18T14:15:16.878130,182.287,95.296,0.221,50.009,30.04,58.184,31.429,99.894,71.786
0,1,3,well_00_rep_03,2026-02-18T14:15:26.480438,182.488,95.777,0.253,49.397,29.321,57.561,31.923,99.777,69.097
0,1,4,well_00_rep_04,2026-02-18T14:15:36.078935,181.21,95.454,0.286,49.695,29.035,57.762,31.569,99.814,70.762
0,1,5,well_00_rep_05,2026-02-18T14:15:45.678465,182.585,95.937,0.185,49.288,29.359,57.476,31.615,99.886,71.477
0,1,6,well_00_rep_06,2026-02-18T14:15:55.278934,182.585,96.434,0.235,49.543,29.611,57.708,31.367,99.886,71.641
1,1,1,well_01_rep_01,2026-02-18T14:16:05.567089,198.681,103.162,0.544,53.904,33.158,61.958,30.847,99.726,78.189
1,1,2,well_01_rep_02,2026-02-18T14:16:15.166795,199.149,102.819,0.472,53.888,33.357,61.955,30.971,99.763,78.137
1,1,3,well_01_rep_03,2026-02-18T14:16:24.767940,199.583,102.617,0.541,54.006,33.181,62.065,30.644,99.764,78.221
1,1,4,well_01_rep_04,2026-02-18T14:16:34.366690,199.313,102.776,0.517,53.926,33.189,61.985,31.272,99.73,78.032
1,1,5,well_01_rep_05,2026-02-18T14:16:43.967564,198.931,103.419,0.495,53.959,33.191,62.006,31.336,99.734,78.085
1,1,6,well_01_rep_06,2026-02-18T14:16:53.567497,199.272,102.921,0.561,53.948,33.117,62.012,31.083,99.737,78.17
2,1,1,well_02_rep_01,2026-02-18T14:17:03.855323,192.439,100.175,0.612,52.353,32.037,60.4,31.589,99.738,75.398
2,1,2,well_02_rep_02,2026-02-18T14:17:13.455221,192.436,100.512,0.774,52.425,31.954,60.464,31.681,99.646,75.476
2,1,3,well_02_rep_03,2026-02-18T14:17:23.054778,192.329,100.472,0.709,52.384,31.979,60.447,31.531,99.675,75.446
2,1,4,well_02_rep_04,2026-02-18T14:17:32.415467,192.628,100.472,0.882,52.474,32.038,60.478,31.584,99.674,75.458
2,1,5,well_02_rep_05,2026-02-18T14:17:42.015651,192.573,100.719,0.91,52.404,32.063,60.407,31.767,99.579,75.608
2,1,6,well_02_rep_06,2026-02-18T14:17:51.614276,192.604,100.484,0.793,52.429,32.006,60.434,31.796,99.621,75.56
3,1,1,well_03_rep_01,2026-02-18T14:18:01.919442,208.927,91.866,0.809,53.18,42.469,61.994,26.132,99.676,82.019
3,1,2,well_03_rep_02,2026-02-18T14:18:11.502437,208.62,91.585,0.889,53.143,42.391,61.922,26.232,99.638,81.696
3,1,3,well_03_rep_03,2026-02-18T14:18:21.102965,208.661,91.768,0.837,53.214,42.942,62.091,26.244,99.608,81.787
