group_id,color_space,channel,group_mean,group_std,measurement_uncertainty,process_uncertainty,uncertainty_ratio,measurement_cv_percent,process_cv_percent,num_wells,num_measurements
1,RGB,R,191.915,9.869,1.037,10.48,10.106,0.56,5.46,6,36
1,RGB,G,96.106,4.66,0.527,4.966,9.42,0.55,5.17,6,36
1,RGB,B,0.532,0.24,0.051,0.253,4.966,10.59,47.47,6,36
1,LAB,L,51.388,1.976,0.1,2.128,21.273,0.2,4.14,6,36
1,LAB,A,33.681,4.237,0.428,4.509,10.528,1.37,13.39,6,36
1,LAB,B,59.723,1.944,0.115,2.088,18.099,0.2,3.5,6,36
1,HSV,H,30.226,1.916,0.135,2.064,15.249,0.44,6.83,6,36
1,HSV,S,99.749,0.098,0.033,0.1,3.037,0.03,0.1,6,36
1,HSV,V,75.062,3.998,0.263,4.296,16.325,0.36,5.72,6,36
2,RGB,R,223.352,5.582,0.633,5.955,9.412,0.29,2.67,6,36
2,RGB,G,50.563,7.703,0.407,8.305,20.424,0.86,16.42,6,36
2,RGB,B,0.435,0.076,0.038,0.071,1.836,8.72,16.23,6,36
2,LAB,L,49.691,1.37,0.048,1.479,30.959,0.1,2.98,6,36
2,LAB,A,63.858,2.924,0.12,3.156,26.339,0.19,4.94,6,36
2,LAB,B,61.771,1.101,0.053,1.187,22.281,0.09,1.92,6,36
2,HSV,H,13.403,2.225,0.091,2.401,26.523,0.73,17.91,6,36
2,HSV,S,99.834,0.028,0.017,0.025,1.492,0.02,0.03,6,36
2,HSV,V,87.594,2.092,0.069,2.258,32.532,0.08,2.58,6,36
3,RGB,R,210.219,9.029,1.627,9.515,5.849,0.76,4.53,6,36
3,RGB,G,139.577,3.669,0.76,3.837,5.047,0.54,2.75,6,36
3,RGB,B,0.521,0.123,0.073,0.1,1.361,13.73,19.11,6,36
3,LAB,L,63.738,1.639,0.035,1.77,50.487,0.06,2.78,6,36
3,LAB,A,18.749,3.792,0.172,4.091,23.721,1.01,21.82,6,36
3,LAB,B,68.84,1.565,0.04,1.69,42.049,0.06,2.46,6,36
3,HSV,H,39.814,1.676,0.085,1.808,21.192,0.22,4.54,6,36
3,HSV,S,99.782,0.06,0.02,0.061,3.088,0.02,0.06,6,36
3,HSV,V,82.654,3.594,0.123,3.88,31.612,0.15,4.69,6,36
4,RGB,R,106.789,12.601,1.29,13.467,10.44,1.23,12.61,6,36
4,RGB,G,127.769,7.669,0.478,8.26,17.263,0.38,6.46,6,36
4,RGB,B,37.984,8.598,0.586,9.264,15.798,1.74,24.39,6,36
4,LAB,L,50.336,3.188,0.056,3.443,61.782,0.11,6.84,6,36
4,LAB,A,-20.856,3.534,0.519,3.708,7.14,-2.47,-17.78,6,36
4,LAB,B,44.193,2.031,0.232,2.179,9.376,0.53,4.93,6,36
4,HSV,H,73.848,5.691,0.55,6.076,11.041,0.74,8.23,6,36
4,HSV,S,70.606,5.372,0.332,5.789,17.428,0.47,8.2,6,36
4,HSV,V,50.068,2.999,0.124,3.235,26.042,0.25,6.46,6,36
