channel,channel_type,norm_std,coef_v_R,coef_v_Y,coef_v_B,max_abs_coef
B',normalized,0.017353144257387806,-0.3354093858714454,-0.3210073693896188,0.6564167552610644,0.6564167552610644
C',normalized,0.04211528183865017,0.42234166786285504,0.12773145664173732,-0.5500731245045926,0.5500731245045926
G',normalized,0.023895318627595794,-0.638711313942862,0.18807062781231454,0.4506406861305475,0.638711313942862
H',normalized,0.0088883857919104,-0.4386975452767813,-0.18745700378094518,0.6261545490577266,0.6261545490577266
HSV_H,raw,0.0009962962962962963,-0.43869799358142014,-0.18745637678202703,0.6261543703634472,0.6261543703634472
HSV_S,raw,0.003995416666666666,0.31674088988740356,0.1974425910428645,-0.5141834809302681,0.5141834809302681
HSV_V,raw,0.0024625000000000003,0.4621240957051363,0.08448670565445385,-0.5466108013595902,0.5466108013595902
L',normalized,0.026240660041417705,-0.5833692060623263,0.46827727898389887,0.11509192707842744,0.5833692060623263
LAB_A,raw,0.001800653594771242,0.6239794503701375,-0.13044971305874414,-0.4935297373113934,0.6239794503701375
LAB_B,raw,0.0012895424836601307,0.2516049192404189,0.39347954525549333,-0.6450844644959123,0.6450844644959123
LAB_L,raw,0.0010995833333333335,-0.5833657055430422,0.46828004437336657,0.11508566116967595,0.5833657055430422
R',normalized,0.03428915767678781,0.5415159272884049,0.056556052423033076,-0.5980719797114381,0.5980719797114381
RGB_B,raw,0.004788888888888888,-0.35771098996404965,-0.262136984709372,0.6198479746734218,0.6198479746734218
RGB_G,raw,0.002805065359477124,-0.6441394929328919,0.32376997106442273,0.3203695218684692,0.6441394929328919
RGB_R,raw,0.006915196078431373,0.4034748598937211,0.24537526549961028,-0.6488501253933316,0.6488501253933316
S',normalized,0.07075650761636593,0.3167404655173605,0.19744285868311498,-0.5141833242004755,0.5141833242004755
V',normalized,0.03153953159986748,0.46212387586028175,0.08448443856722213,-0.546608314427504,0.546608314427504
h',normalized,0.011515312394560172,-0.5051592395823433,-0.10792501370074445,0.6130842532830879,0.6130842532830879
