well_index,group_id,num_replicates,RGB_R_mean,RGB_R_std,RGB_G_mean,RGB_G_std,RGB_B_mean,RGB_B_std,LAB_L_mean,LAB_L_std,LAB_A_mean,LAB_A_std,LAB_B_mean,LAB_B_std,HSV_H_mean,HSV_H_std,HSV_S_mean,HSV_S_std,HSV_V_mean,HSV_V_std
0,1,6,206.751,4.623,161.795,1.954,100.414,5.566,69.44,0.085,8.532,2.067,38.626,2.206,36.466,1.471,51.769,0.993,79.876,1.139
1,1,6,210.023,0.282,177.554,0.15,119.493,0.299,74.024,0.043,4.03,0.186,34.092,0.371,38.398,0.295,43.262,0.177,82.346,0.073
2,1,6,211.899,0.365,179.894,0.18,123.31,0.481,74.948,0.078,3.732,0.172,33.074,0.17,37.967,0.412,41.937,0.151,83.106,0.073
3,1,6,200.646,3.628,179.916,1.273,122.628,0.532,73.872,0.026,-1.629,0.653,32.148,0.266,45.921,0.236,38.364,0.22,78.03,0.117
4,1,6,181.91,0.268,164.196,0.135,78.014,0.199,67.43,0.037,-4.312,0.073,46.252,0.119,50.001,0.087,57.27,0.133,71.333,0.029
5,1,6,197.231,0.206,139.872,0.155,29.58,0.758,62.305,0.039,12.89,0.279,61.304,0.175,39.674,0.087,84.999,0.257,77.319,0.066
6,2,6,247.546,0.086,63.913,0.197,3.898,0.34,55.714,0.042,67.051,0.023,66.343,0.104,14.667,0.33,98.555,0.206,97.118,0.061
7,2,6,242.499,0.958,64.446,0.836,2.079,0.437,54.762,0.073,65.279,0.282,65.836,0.164,15.805,0.083,99.058,0.109,94.878,0.084
8,2,6,239.896,4.055,47.384,3.161,0.678,0.114,52.67,0.28,70.036,0.947,64.995,0.296,11.504,0.105,99.723,0.02,94.789,0.049
9,2,6,253.474,0.144,55.789,0.181,2.301,0.582,55.91,0.045,71.372,0.148,67.53,0.08,12.724,0.137,99.051,0.129,99.433,0.053
10,2,6,249.79,0.162,56.858,0.161,0.453,0.071,55.336,0.04,69.982,0.055,67.041,0.066,13.87,0.032,99.792,0.026,97.877,0.133
11,2,6,250.004,0.558,57.706,0.329,1.058,0.141,55.395,0.055,69.599,0.166,66.96,0.067,13.736,0.083,99.455,0.119,97.814,0.269
12,3,6,205.904,0.185,193.048,0.167,28.942,1.118,76.92,0.041,-11.642,0.109,73.856,0.122,56.0,0.0,85.783,0.175,80.666,0.126
13,3,6,224.87,3.177,188.665,0.713,22.944,2.757,77.538,0.086,-0.79,1.683,76.386,0.68,49.043,0.799,90.008,1.502,88.447,1.207
14,3,6,221.38,0.288,198.592,0.102,39.372,0.865,79.848,0.053,-7.499,0.122,74.612,0.197,52.079,0.155,82.484,0.208,86.74,0.313
15,3,6,231.332,1.797,184.609,0.248,4.59,3.3,77.229,0.021,3.92,0.181,78.94,0.028,47.99,0.01,98.721,0.094,91.062,0.115
16,3,6,221.758,0.103,170.892,0.156,0.774,0.495,72.633,0.02,6.788,0.129,75.645,0.027,46.014,0.053,99.553,0.257,86.914,0.044
17,3,6,238.33,3.534,183.946,1.341,8.482,2.646,77.714,0.035,7.633,0.937,79.214,0.091,45.566,0.221,97.196,0.284,94.085,0.15
18,4,6,99.055,4.004,189.379,2.653,163.345,4.221,70.876,0.914,-33.382,0.996,5.259,1.181,162.598,2.257,47.669,2.443,74.013,1.105
19,4,6,95.527,3.504,194.86,0.587,174.299,0.656,72.507,0.283,-34.477,0.308,1.219,0.089,168.03,0.065,51.836,0.723,76.428,0.326
20,4,6,69.316,1.855,173.548,1.18,145.377,0.611,64.542,0.153,-37.392,0.288,5.607,0.207,163.63,0.163,60.59,0.224,68.114,0.113
21,4,6,87.414,2.208,185.031,0.41,163.315,0.779,69.081,0.092,-33.621,0.653,2.212,0.783,166.772,0.909,52.244,0.344,72.43,0.165
22,4,6,102.952,3.109,180.773,0.568,156.628,1.442,68.164,0.043,-29.807,0.456,5.084,0.302,160.975,0.295,42.036,0.482,70.738,0.044
23,4,6,99.522,3.222,193.443,0.33,175.478,0.898,72.348,0.055,-32.592,0.107,0.435,0.101,168.946,0.323,49.498,0.313,75.956,0.056
