well_index,group_id,replicate_id,measurement_id,timestamp,RGB_R,RGB_G,RGB_B,LAB_L,LAB_A,LAB_B,HSV_H,HSV_S,HSV_V
0,1,1,well_00_rep_01,2026-02-20T14:47:54.423772,216.171,157.811,111.71,69.584,12.721,34.165,34.857,49.881,80.268
0,1,2,well_00_rep_02,2026-02-20T14:48:04.023719,205.354,162.542,99.011,69.484,7.847,39.672,36.264,52.371,80.32
0,1,3,well_00_rep_03,2026-02-20T14:48:13.624573,204.95,162.479,98.167,69.4,7.946,39.679,35.88,51.752,80.483
0,1,4,well_00_rep_04,2026-02-20T14:48:23.208072,204.757,162.739,97.404,69.442,7.406,39.728,36.606,52.737,80.285
0,1,5,well_00_rep_05,2026-02-20T14:48:32.808569,204.672,162.632,97.593,69.39,7.388,39.596,39.219,51.865,77.555
0,1,6,well_00_rep_06,2026-02-20T14:48:42.408369,204.603,162.566,98.601,69.343,7.887,38.915,35.969,52.007,80.343
1,1,1,well_01_rep_01,2026-02-20T14:48:52.471794,209.893,177.472,119.281,74.054,3.814,34.744,37.972,43.024,82.421
1,1,2,well_01_rep_02,2026-02-20T14:49:02.071691,209.923,177.437,119.402,73.961,4.209,33.738,38.187,43.327,82.297
1,1,3,well_01_rep_03,2026-02-20T14:49:11.671353,209.571,177.75,119.868,74.076,3.828,34.257,38.488,43.433,82.386
1,1,4,well_01_rep_04,2026-02-20T14:49:21.273862,210.265,177.74,119.625,74.04,4.039,33.823,38.808,43.052,82.231
1,1,5,well_01_rep_05,2026-02-20T14:49:30.871297,210.159,177.496,119.719,74.027,4.028,33.901,38.355,43.371,82.407
1,1,6,well_01_rep_06,2026-02-20T14:49:40.456656,210.324,177.431,119.063,73.984,4.26,34.089,38.577,43.366,82.331
2,1,1,well_02_rep_01,2026-02-20T14:49:50.760719,211.376,180.029,123.022,74.888,3.836,33.219,37.369,41.811,83.151
2,1,2,well_02_rep_02,2026-02-20T14:50:00.360787,211.606,179.921,123.309,74.855,4.007,32.911,38.525,42.101,82.974
2,1,3,well_02_rep_03,2026-02-20T14:50:09.719660,212.392,179.654,123.891,74.906,3.72,33.114,37.914,41.93,83.073
2,1,4,well_02_rep_04,2026-02-20T14:50:19.321726,211.951,179.755,122.696,75.066,3.685,32.911,38.293,41.728,83.134
2,1,5,well_02_rep_05,2026-02-20T14:50:28.919827,211.926,179.858,123.864,74.988,3.509,33.316,37.706,42.103,83.128
2,1,6,well_02_rep_06,2026-02-20T14:50:38.520213,212.142,180.147,123.076,74.982,3.632,32.971,37.997,41.948,83.175
3,1,1,well_03_rep_01,2026-02-20T14:50:48.808023,208.026,177.372,122.005,73.84,-0.423,32.077,46.023,38.148,77.988
3,1,2,well_03_rep_02,2026-02-20T14:50:58.407773,199.221,180.372,122.7,73.842,-2.074,32.352,45.956,38.443,78.02
3,1,3,well_03_rep_03,2026-02-20T14:51:08.006813,199.567,179.967,122.521,73.899,-2.264,32.446,46.266,38.203,77.825
3,1,4,well_03_rep_04,2026-02-20T14:51:17.609788,199.031,180.735,122.089,73.872,-1.729,32.261,45.735,38.577,78.159
3,1,5,well_03_rep_05,2026-02-20T14:51:27.209043,198.669,180.599,123.262,73.877,-1.461,32.041,45.588,38.17,78.093
3,1,6,well_03_rep_06,2026-02-20T14:51:36.808577,199.362,180.452,123.191,73.9,-1.821,31.708,45.956,38.646,78.092
4,1,1,well_04_rep_01,2026-02-20T14:51:48.281103,182.08,164.062,77.929,67.484,-4.285,46.177,49.931,57.429,71.346
4,1,2,well_04_rep_02,2026-02-20T14:51:57.863602,181.99,164.341,78.038,67.436,-4.373,46.213,50.138,57.278,71.284
4,1,3,well_04_rep_03,2026-02-20T14:52:07.464712,181.549,164.356,78.073,67.403,-4.313,46.219,49.972,57.066,71.358
4,1,4,well_04_rep_04,2026-02-20T14:52:17.066789,181.901,164.101,77.772,67.38,-4.182,46.408,49.942,57.333,71.353
4,1,5,well_04_rep_05,2026-02-20T14:52:26.664808,181.665,164.245,77.917,67.454,-4.374,46.109,49.942,57.166,71.347
4,1,6,well_04_rep_06,2026-02-20T14:52:36.263585,182.277,164.071,78.358,67.422,-4.346,46.384,50.079,57.348,71.312
5,1,1,well_05_rep_01,2026-02-20T14:52:46.551565,197.087,139.634,30.66,62.334,12.574,61.552,39.596,85.249,77.441
5,1,2,well_05_rep_02,2026-02-20T14:52:56.152263,197.295,139.845,30.115,62.351,12.902,61.431,39.629,84.938,77.249
5,1,3,well_05_rep_03,2026-02-20T14:53:05.753247,196.904,139.933,29.641,62.273,13.244,61.222,39.762,85.245,77.336
5,1,4,well_05_rep_04,2026-02-20T14:53:15.353074,197.47,139.962,28.649,62.288,12.689,61.054,39.802,85.027,77.286
5,1,5,well_05_rep_05,2026-02-20T14:53:24.952450,197.247,139.783,29.576,62.253,13.203,61.331,39.603,84.549,77.294
5,1,6,well_05_rep_06,2026-02-20T14:53:34.551817,197.384,140.078,28.841,62.329,12.726,61.231,39.652,84.985,77.307
