group_id,well_index,color_space,channel,value
1,0,RGB,R',0.5600414289199322
1,0,RGB,G',0.3242632838079046
1,0,RGB,B',0.11569528727216322
1,1,RGB,R',0.5061993720446692
1,1,RGB,G',0.34764992095845043
1,1,RGB,B',0.14615070699688024
1,2,RGB,R',0.5010321557063201
1,2,RGB,G',0.3472526386642357
1,2,RGB,B',0.15171520562944416
1,3,RGB,R',0.471265183988216
1,3,RGB,G',0.3693322696624436
1,3,RGB,B',0.15940254634934045
1,4,RGB,R',0.51028545074655
1,4,RGB,G',0.4064843827498986
1,4,RGB,B',0.08323016650355136
1,5,RGB,R',0.6710513871222309
1,5,RGB,G',0.3137393454585464
1,5,RGB,B',0.01520926741922269
2,6,RGB,R',0.9470017372189637
2,6,RGB,G',0.05179981203293959
2,6,RGB,B',0.0011984507480966699
2,7,RGB,R',0.9443135918011478
2,7,RGB,G',0.05501842969459297
2,7,RGB,B',0.0006679785042591798
2,8,RGB,R',0.9676932964013563
2,8,RGB,G',0.03207810724294188
2,8,RGB,B',0.00022859635570185961
2,9,RGB,R',0.9610684515375869
2,9,RGB,G',0.03825119621575133
2,9,RGB,B',0.00068035224666187
2,10,RGB,R',0.9589378933179318
2,10,RGB,G',0.04092402040137463
2,10,RGB,B',0.0001380862806936182
2,11,RGB,R',0.9577067134715005
2,11,RGB,G',0.04197163654463776
2,11,RGB,B',0.0003216499838616831
3,12,RGB,R',0.5304308675607567
3,12,RGB,G',0.45903301547466396
3,12,RGB,B',0.010536116964579288
3,13,RGB,R',0.5933249653042869
3,13,RGB,G',0.3999387752074154
3,13,RGB,B',0.006736259488297582
3,14,RGB,R',0.5519874636959151
3,14,RGB,G',0.43232287711937695
3,14,RGB,B',0.01568965918470797
3,15,RGB,R',0.6234272305679573
3,15,RGB,G',0.37548943158772363
3,15,RGB,B',0.0010833378443191293
3,16,RGB,R',0.6416723840776262
3,16,RGB,G',0.35812073296571034
3,16,RGB,B',0.0002068829566633974
3,17,RGB,R',0.640414832606869
3,17,RGB,G',0.3576629385173371
3,17,RGB,B',0.0019222288757938409
4,18,RGB,R',0.12441301931781079
4,18,RGB,G',0.5091023183123817
4,18,RGB,B',0.36648466236980765
4,19,RGB,R',0.10664901517208668
4,19,RGB,G',0.5019346509966673
4,19,RGB,B',0.3914163338312461
4,20,RGB,R',0.07843719341099593
4,20,RGB,G',0.5496384503455929
4,20,RGB,B',0.3719243562434111
4,21,RGB,R',0.1013765821621911
4,21,RGB,G',0.5111987965262738
4,21,RGB,B',0.387424621311535
4,22,RGB,R',0.14543259178704332
4,22,RGB,G',0.4945690579898963
4,22,RGB,B',0.3599983502230603
4,23,RGB,R',0.11537436376900712
4,23,RGB,G',0.4901975160187264
4,23,RGB,B',0.3944281202122666
1,0,LAB,L',0.694405
1,0,LAB,C',0.40838307509620514
1,0,LAB,h',0.21539813779215647
1,1,LAB,L',0.7402366666666667
1,1,LAB,C',0.35441276383395054
1,1,LAB,h',0.23127480369456194
1,2,LAB,L',0.749475
1,2,LAB,C',0.3436157685452559
1,2,LAB,h',0.23211913297507655
1,3,LAB,L',0.7387166666666667
1,3,LAB,C',0.33231343810341485
1,3,LAB,h',0.2580562694585907
1,4,LAB,L',0.6742983333333333
1,4,LAB,C',0.47956868219496485
1,4,LAB,h',0.26479567058417314
1,5,LAB,L',0.6230466666666666
1,5,LAB,C',0.6467301370665693
1,5,LAB,h',0.21701655669827255
2,6,LAB,L',0.5571416666666668
2,6,LAB,C',0.9737989722886576
2,6,LAB,h',0.12415527531397398
2,7,LAB,L',0.5476166666666666
2,7,LAB,C',0.9571593886238234
2,7,LAB,h',0.12567611635123324
2,8,LAB,L',0.5267
2,8,LAB,C',0.9864319266872018
2,8,LAB,h',0.11906118813788472
2,9,LAB,L',0.5590966666666666
2,9,LAB,C',1.0
2,9,LAB,h',0.12059778507563391
2,10,LAB,L',0.5533616666666666
2,10,LAB,C',1.0
2,10,LAB,h',0.12158372867807038
2,11,LAB,L',0.5539483333333334
2,11,LAB,C',0.9970809895825747
2,11,LAB,h',0.12192549331846783
3,12,LAB,L',0.7691966666666668
3,12,LAB,C',0.7719026005068643
3,12,LAB,h',0.2748832020978218
3,13,LAB,L',0.77538
3,13,LAB,C',0.7886406455067825
3,13,LAB,h',0.25164561500809635
3,14,LAB,L',0.79848
3,14,LAB,C',0.7741730682155747
3,14,LAB,h',0.26594212951696095
3,15,LAB,L',0.77229
3,15,LAB,C',0.8159733059513614
3,15,LAB,h',0.24210351081515868
3,16,LAB,L',0.7263283333333334
3,16,LAB,C',0.784088612303463
3,16,LAB,h',0.23575531476803002
