group_id,color_space,channel,group_mean,group_std,measurement_uncertainty,process_uncertainty,uncertainty_ratio,num_wells,num_measurements
1,RGB,R,201.41,10.475,1.562,11.054,7.077,6,36
1,RGB,G,167.205,14.46,0.641,15.589,24.319,6,36
1,RGB,B,95.573,34.11,1.306,36.77,28.158,6,36
1,LAB,L,70.336,4.557,0.051,4.922,95.578,6,36
1,LAB,A,3.874,5.919,0.572,6.33,11.074,6,36
1,LAB,B,40.916,10.463,0.551,11.263,20.438,6,36
1,HSV,H,41.404,4.979,0.431,5.339,12.383,6,36
1,HSV,S,52.934,15.907,0.322,17.176,53.383,6,36
1,HSV,V,78.668,3.967,0.25,4.259,17.062,6,36
2,RGB,R,247.202,4.973,0.994,5.089,5.122,6,36
2,RGB,G,57.682,5.913,0.811,6.243,7.701,6,36
2,RGB,B,1.744,1.236,0.281,1.291,4.599,6,36
2,LAB,L,54.964,1.108,0.089,1.19,13.366,6,36
2,LAB,A,68.887,2.13,0.27,2.263,8.377,6,36
2,LAB,B,66.451,0.868,0.129,0.925,7.148,6,36
2,HSV,H,13.718,1.392,0.128,1.495,11.642,6,36
2,HSV,S,99.272,0.451,0.102,0.472,4.646,6,36
2,HSV,V,96.985,1.699,0.108,1.831,16.933,6,36
3,RGB,R,223.929,10.316,1.514,10.947,7.23,6,36
3,RGB,G,186.625,8.777,0.455,9.459,20.808,6,36
3,RGB,B,17.517,14.282,1.863,15.276,8.198,6,36
3,LAB,L,76.98,2.193,0.043,2.368,55.371,6,36
3,LAB,A,-0.265,7.347,0.527,7.896,14.982,6,36
3,LAB,B,76.442,2.071,0.19,2.218,11.642,6,36
3,HSV,H,49.448,3.694,0.206,3.975,19.269,6,36
3,HSV,S,92.291,6.727,0.42,7.237,17.228,6,36
3,HSV,V,87.986,4.232,0.326,4.542,13.943,6,36
4,RGB,R,92.297,11.864,2.984,12.44,4.169,6,36
4,RGB,G,186.172,7.592,0.955,8.105,8.49,6,36
4,RGB,B,163.074,10.581,1.434,11.267,7.854,6,36
4,LAB,L,69.586,2.818,0.257,3.018,11.766,6,36
4,LAB,A,-33.545,2.346,0.468,2.473,5.286,6,36
4,LAB,B,3.303,2.186,0.444,2.283,5.142,6,36
4,HSV,H,165.159,3.118,0.669,3.212,4.803,6,36
4,HSV,S,50.646,5.752,0.755,6.118,8.106,6,36
4,HSV,V,72.947,2.985,0.301,3.188,10.582,6,36
