channel,channel_type,R2_v_R,R2_v_Y,R2_v_B,R2_aggregate
RGB_R,raw,0.3908689890606106,0.10722023491942867,0.9075232959857685,0.9370750133105384
RGB_G,raw,0.9149484339323567,0.26158123655300347,0.19809552813287679,0.9164167990788248
RGB_B,raw,0.23695869021985005,0.18574042638295185,0.842283711918601,0.8433218856809351
LAB_L,raw,0.7616813986997752,0.49584611228543174,0.028419280851809003,0.8572978612246774
LAB_A,raw,0.9046368066896845,0.06759464033893159,0.4776665894596669,0.9665986909921885
LAB_B,raw,0.09548306441310206,0.41252712739341857,0.9049452206314291,0.9419702749586332
HSV_H,raw,0.44635676049854267,0.06760116150854589,0.8613725760267101,0.9168869986891991
HSV_S,raw,0.19120153592293687,0.09075796164748762,0.5454215378284824,0.5515873569326046
HSV_V,raw,0.5805504689306814,0.001576162139225623,0.6426259424391552,0.8165017156727084
R',normalized,0.6762757827958998,0.0032287511138753278,0.7729609662617385,0.9683103334476759
G',normalized,0.9465097442362324,0.14604326282789382,0.3489634123368881,0.9610109462673427
B',normalized,0.251750430641247,0.23713259148719257,0.9775474551537032,0.9776203181880951
L',normalized,0.7616763822669115,0.4958484351652751,0.02841775578231398,0.8572950488096669
C',normalized,0.26937126292217217,0.09610271138758952,0.6872646437625602,0.701825745381548
h',normalized,0.6071900134736758,0.01495691496592133,0.8127427248222288,0.9565931021745506
H',normalized,0.44635565548832545,0.0676017259253684,0.8613730557150115,0.9168869580858034
S',normalized,0.19120140358182314,0.09075678771754658,0.5454184364687129,0.5515844185120552
V',normalized,0.5805454425882064,0.0015765439449476615,0.6426283631319689,0.816500233110082
