channel,channel_type,norm_std,coef_v_R,coef_v_Y,coef_v_B,max_abs_coef
B',normalized,0.020551706222725515,-0.3344982515425136,-0.32464174544133506,0.6591399969838488,0.6591399969838488
C',normalized,0.060327800596208625,0.34600659140938805,0.20666958211662895,-0.5526761735260171,0.5526761735260171
G',normalized,0.026021271400165403,-0.6485915490031654,0.25477071419689745,0.3938208348062681,0.6485915490031654
H',normalized,0.009868354200570344,-0.44539902483968785,-0.1733355460440408,0.6187345708837286,0.6187345708837286
HSV_H,raw,0.0006696759259259259,-0.4453995761603247,-0.1733348224404571,0.6187343986007818,0.6187343986007818
HSV_S,raw,0.00223125,0.2915106523099871,0.20084041386963883,-0.492351066179626,0.492351066179626
HSV_V,raw,0.0009579166666666667,0.5079590836237291,0.026467272362723115,-0.5344263559864522,0.5344263559864522
L',normalized,0.025484274954754735,-0.5818271535113084,0.46944337496196253,0.11238377854934593,0.5818271535113084
LAB_A,raw,0.0011542483660130717,0.6340826468002363,-0.17332646183678496,-0.4607561849634515,0.6340826468002363
LAB_B,raw,0.0012722222222222221,0.20600222697081289,0.4281884981554622,-0.6341907251262752,0.6341907251262752
LAB_L,raw,0.0004929166666666667,-0.5818290694772729,0.46944227537007843,0.11238679410719474,0.5818290694772729
R',normalized,0.04196725433427471,0.5482399242812911,0.03788140038403759,-0.5861213246653287,0.5861213246653287
RGB_B,raw,0.0042619281045751635,-0.32452268554146496,-0.2873174213559719,0.611840106897437,0.611840106897437
RGB_G,raw,0.002675,-0.6376862460602244,0.3409667540345987,0.29671949202562586,0.6376862460602244
RGB_R,raw,0.005846078431372548,0.4167967738522033,0.21829667368507513,-0.6350934475372787,0.6350934475372787
S',normalized,0.08619062755605614,0.2915105514246809,0.2008391149569412,-0.4923496663816222,0.4923496663816222
V',normalized,0.024875504430876626,0.5079568846918701,0.026470477852779783,-0.53442736254465,0.53442736254465
h',normalized,0.012210388853112977,-0.5194826543885012,-0.08153231115718279,0.601014965545684,0.601014965545684
