well_index,group_id,num_replicates,RGB_R_mean,RGB_R_std,RGB_G_mean,RGB_G_std,RGB_B_mean,RGB_B_std,LAB_L_mean,LAB_L_std,LAB_A_mean,LAB_A_std,LAB_B_mean,LAB_B_std,HSV_H_mean,HSV_H_std,HSV_S_mean,HSV_S_std,HSV_V_mean,HSV_V_std
0,1,6,209.774,3.866,169.561,1.928,116.152,5.611,71.94,0.117,7.041,1.303,33.746,2.439,35.794,0.346,45.281,0.437,81.706,0.163
1,1,6,214.127,0.335,187.452,0.167,133.688,0.279,77.212,0.035,1.845,0.152,30.847,0.278,40.78,0.206,37.805,0.167,83.965,0.047
2,1,6,213.561,0.143,183.272,0.231,130.923,0.588,76.064,0.022,3.818,0.16,30.341,0.246,37.757,0.189,38.478,0.147,83.742,0.09
3,1,6,208.411,2.063,176.782,0.887,112.517,0.717,73.632,0.018,2.323,0.207,37.225,0.208,41.048,0.331,45.712,0.169,81.242,0.127
4,1,6,193.492,2.113,174.032,1.097,113.236,1.455,71.534,0.028,-0.845,0.083,33.622,0.16,44.887,0.361,41.582,0.204,76.203,0.126
5,1,6,209.229,0.123,181.042,0.057,117.003,0.377,74.877,0.051,1.534,0.179,36.593,0.207,41.509,0.164,43.964,0.163,82.075,0.056
6,2,6,242.696,3.173,86.914,2.401,29.145,0.247,57.956,0.124,56.843,0.796,60.656,0.283,16.134,0.086,87.78,0.121,94.656,0.232
7,2,6,243.717,0.341,81.449,0.187,26.482,0.47,57.349,0.037,60.042,0.095,61.418,0.1,15.56,0.089,89.344,0.233,95.585,0.108
8,2,6,241.625,3.479,73.306,2.206,23.721,1.663,55.906,0.107,62.728,0.857,61.394,0.221,13.394,0.28,90.512,0.367,95.355,0.1
9,2,6,253.007,0.181,97.104,0.318,53.131,0.466,61.47,0.044,57.348,0.167,54.311,0.278,13.158,0.349,79.086,0.255,99.256,0.117
10,2,6,249.211,0.35,113.053,0.166,67.232,0.341,63.688,0.018,49.34,0.219,49.62,0.172,15.593,0.285,72.9,0.136,97.578,0.128
11,2,6,250.82,0.185,111.672,0.212,68.18,0.252,63.73,0.023,50.532,0.158,49.264,0.213,14.506,0.185,72.858,0.105,98.371,0.109
12,3,6,205.022,1.46,208.365,0.53,82.562,2.306,81.335,0.022,-16.853,0.179,59.848,0.141,61.018,0.123,60.122,0.237,81.645,0.073
13,3,6,219.552,0.533,218.202,0.279,94.611,1.287,85.181,0.07,-15.41,0.21,60.22,0.257,59.912,0.086,57.436,0.19,86.157,0.056
14,3,6,220.117,0.386,201.8,0.498,39.493,0.517,80.53,0.053,-9.529,0.162,75.21,0.104,54.043,0.112,82.13,0.147,86.379,0.097
15,3,6,224.696,0.281,191.463,0.147,25.52,0.74,78.205,0.029,-2.54,0.307,76.35,0.191,50.033,0.051,88.566,0.257,87.995,0.111
16,3,6,221.2,1.671,178.304,0.89,15.012,0.494,74.529,0.047,3.03,0.072,75.08,0.164,47.439,0.2,93.171,0.572,86.965,0.063
17,3,6,240.044,1.638,195.368,1.049,41.789,0.543,80.743,0.067,2.546,0.135,75.398,0.279,45.979,0.022,82.648,0.192,94.422,0.106
18,4,6,117.37,1.112,194.48,0.219,169.248,2.93,73.31,0.039,-29.647,0.093,5.973,0.402,159.378,0.411,39.24,0.102,76.306,0.015
19,4,6,114.194,0.345,193.697,0.133,169.722,0.345,72.866,0.045,-30.075,0.269,4.661,0.237,162.636,0.435,40.959,0.171,75.923,0.082
20,4,6,82.049,5.399,193.666,1.237,179.953,1.101,72.073,0.026,-35.484,0.333,-2.485,0.434,172.805,0.426,58.848,0.158,76.158,0.061
21,4,6,123.444,5.193,204.302,0.932,187.455,2.578,76.792,0.039,-28.063,0.446,0.608,0.477,166.629,0.676,38.467,0.123,79.966,0.076
22,4,6,103.138,0.658,188.61,0.308,168.368,0.224,70.957,0.066,-30.821,0.327,2.363,0.176,165.639,0.154,45.164,0.262,73.966,0.045
23,4,6,143.644,0.75,190.263,0.292,175.753,0.552,73.624,0.056,-18.372,0.155,2.442,0.119,161.172,0.219,24.218,0.44,74.567,0.111
