group_id,color_space,channel,group_mean,group_std,measurement_uncertainty,process_uncertainty,uncertainty_ratio,num_wells,num_measurements
1,RGB,R,208.099,7.214,1.44,7.533,5.23,6,36
1,RGB,G,178.69,6.096,0.728,6.511,8.946,6,36
1,RGB,B,120.586,8.871,1.504,9.275,6.165,6,36
1,LAB,L,74.21,2.093,0.045,2.26,49.894,6,36
1,LAB,A,2.619,2.497,0.347,2.64,7.6,6,36
1,LAB,B,33.729,2.789,0.59,2.836,4.811,6,36
1,HSV,H,40.296,2.941,0.266,3.165,11.888,6,36
1,HSV,S,42.137,3.173,0.214,3.419,15.943,6,36
1,HSV,V,81.489,2.607,0.101,2.814,27.727,6,36
2,RGB,R,246.846,4.763,1.285,4.767,3.71,6,36
2,RGB,G,93.916,15.099,0.915,16.254,17.761,6,36
2,RGB,B,44.649,19.184,0.573,20.708,36.13,6,36
2,LAB,L,60.017,3.144,0.059,3.395,57.712,6,36
2,LAB,A,56.139,4.89,0.382,5.259,13.771,6,36
2,LAB,B,56.111,5.386,0.211,5.813,27.513,6,36
2,HSV,H,14.724,1.17,0.212,1.242,5.848,6,36
2,HSV,S,82.08,7.577,0.203,8.181,40.35,6,36
2,HSV,V,96.8,1.725,0.132,1.858,14.038,6,36
3,RGB,R,221.772,10.456,0.995,11.234,11.295,6,36
3,RGB,G,198.917,12.86,0.565,13.875,24.541,6,36
3,RGB,B,49.831,29.448,0.981,31.785,32.392,6,36
3,LAB,L,80.087,3.275,0.048,3.537,73.821,6,36
3,LAB,A,-6.46,8.116,0.177,8.764,49.381,6,36
3,LAB,B,70.351,7.413,0.189,8.005,42.259,6,36
3,HSV,H,53.071,5.888,0.099,6.358,64.225,6,36
3,HSV,S,77.345,13.862,0.266,14.969,56.287,6,36
3,HSV,V,87.261,3.828,0.084,4.134,49.105,6,36
4,RGB,R,113.973,19.274,2.243,20.582,9.177,6,36
4,RGB,G,194.17,5.098,0.52,5.466,10.505,6,36
4,RGB,B,175.083,7.162,1.289,7.551,5.86,6,36
4,LAB,L,73.27,1.828,0.045,1.974,43.77,6,36
4,LAB,A,-28.744,5.251,0.271,5.664,20.929,6,36
4,LAB,B,2.26,2.79,0.307,2.995,9.739,6,36
4,HSV,H,164.71,4.463,0.387,4.802,12.42,6,36
4,HSV,S,41.15,10.369,0.209,11.197,53.483,6,36
4,HSV,V,76.148,1.939,0.065,2.093,32.219,6,36
