channel,channel_type,coef_v_R,coef_v_Y,coef_v_B
RGB_R,raw,0.4261462325119734,0.17165031586036056,-0.5977965483723341
RGB_G,raw,-0.6567238896670747,0.3270425641528418,0.3296813255142331
RGB_B,raw,-0.3057529361181087,-0.28997952276678013,0.595732458884889
LAB_L,raw,-0.6345160695308217,0.3624433457765178,0.2720727237543041
LAB_A,raw,0.6503211820952717,-0.2679818993668971,-0.38233928272837464
LAB_B,raw,0.17071113273185637,0.4301398357645625,-0.6008509684964191
HSV_H,raw,-0.4534352201893763,-0.1183991875457954,0.5718344077351718
HSV_S,raw,0.3151977594785136,0.293242916563333,-0.6084406760418467
HSV_V,raw,0.40576472689213894,-0.03033777345523081,-0.3754269534369082
R',normalized,0.5999691645705459,-0.06192029302119223,-0.5380488715493537
G',normalized,-0.6437729758384468,0.34158002124798764,0.3021929545904594
B',normalized,-0.3047317158949281,-0.3091733731022029,0.6139050889971311
L',normalized,-0.6345156420740046,0.36244320481298775,0.27207243726101704
C',normalized,0.3576941287686088,0.2874078590629229,-0.6451019878315317
h',normalized,-0.49111000699409324,-0.034553122512292145,0.5256631295063855
H',normalized,-0.453435267795328,-0.11839926581895169,0.5718345336142798
S',normalized,0.3151975814711976,0.29324275095497165,-0.6084403324261695
V',normalized,0.40577183664872535,-0.030348055492543602,-0.37542378115618186
