well_index,group_id,num_replicates,RGB_R_mean,RGB_R_std,RGB_G_mean,RGB_G_std,RGB_B_mean,RGB_B_std,LAB_L_mean,LAB_L_std,LAB_A_mean,LAB_A_std,LAB_B_mean,LAB_B_std,HSV_H_mean,HSV_H_std,HSV_S_mean,HSV_S_std,HSV_V_mean,HSV_V_std
0,1,6,216.892,4.318,169.965,2.528,6.993,7.791,72.025,0.153,4.204,1.665,74.069,0.657,47.503,0.684,97.565,1.306,84.376,0.139
1,1,6,226.569,0.85,169.485,0.284,0.43,0.054,72.822,0.054,9.44,0.699,75.896,0.115,44.632,0.164,99.834,0.036,88.915,0.328
2,1,6,219.902,4.17,173.071,1.295,4.765,1.913,72.989,0.131,4.49,2.645,75.168,0.505,47.369,0.936,97.96,0.833,86.024,1.058
3,1,6,218.572,0.129,179.86,0.116,17.542,0.688,74.654,0.02,0.751,0.174,74.624,0.063,48.358,0.226,91.891,0.332,85.682,0.059
4,1,6,195.446,0.349,173.063,0.239,12.01,0.873,70.627,0.047,-5.97,0.059,71.291,0.079,52.137,0.17,93.679,0.159,76.53,0.121
5,1,6,198.316,0.222,158.866,0.283,0.512,0.046,67.281,0.037,2.862,0.508,70.567,0.051,48.096,0.177,99.747,0.041,77.867,0.16
6,2,6,252.627,0.142,83.136,0.232,16.668,0.286,59.031,0.033,62.258,0.105,66.013,0.022,17.374,0.14,93.467,0.078,99.115,0.029
7,2,6,242.779,3.015,75.781,1.922,1.577,0.253,56.184,0.053,60.593,0.343,66.456,0.107,18.323,0.181,99.289,0.202,94.771,0.119
8,2,6,244.487,6.157,70.698,3.734,0.773,0.046,56.12,0.264,64.622,1.761,67.022,0.525,16.786,0.372,99.724,0.035,96.795,0.436
9,2,6,250.766,0.374,82.412,0.128,16.805,0.318,58.633,0.048,61.856,0.12,65.69,0.164,16.541,0.194,93.317,0.05,98.454,0.129
10,2,6,251.42,0.394,104.148,0.44,28.546,0.897,62.277,0.04,53.026,0.202,64.839,0.289,20.608,0.187,89.032,0.292,98.591,0.073
11,2,6,253.375,0.128,112.989,0.091,38.496,0.238,64.117,0.019,50.118,0.105,62.794,0.263,20.496,0.097,84.685,0.181,99.354,0.071
12,3,6,218.915,1.455,209.168,0.466,12.872,0.799,82.244,0.032,-13.743,0.551,81.046,0.047,56.624,0.443,94.24,0.183,86.197,0.244
13,3,6,231.24,0.248,221.318,0.21,31.289,0.375,86.537,0.015,-14.615,0.266,82.252,0.055,57.403,0.195,86.548,0.182,90.699,0.167
14,3,6,234.311,0.888,220.358,0.379,29.92,0.517,86.561,0.032,-12.685,0.387,82.442,0.099,55.574,0.286,87.141,0.302,92.095,0.179
15,3,6,236.463,0.329,212.412,0.157,16.366,0.472,84.745,0.016,-8.463,0.312,83.114,0.058,53.077,0.133,93.054,0.229,92.82,0.119
16,3,6,221.331,0.379,210.863,0.439,4.552,3.638,83.002,0.041,-14.08,0.017,82.458,0.026,56.888,0.142,98.387,0.198,86.845,0.031
17,3,6,243.437,2.255,215.585,0.684,24.626,0.225,86.142,0.059,-6.028,0.356,83.514,0.065,52.008,0.01,89.932,0.273,95.927,0.184
18,4,6,173.744,0.813,216.825,0.363,163.254,0.731,82.519,0.039,-24.073,0.433,21.71,0.281,108.528,0.809,24.743,0.15,85.05,0.073
19,4,6,172.367,0.222,218.928,0.161,179.976,0.168,83.325,0.035,-22.524,0.149,14.302,0.179,129.135,0.415,21.243,0.369,85.802,0.133
20,4,6,210.744,0.464,224.879,0.361,237.249,4.646,88.948,0.043,-2.89,0.525,-7.189,0.914,204.734,1.07,10.641,0.297,92.409,0.189
21,4,6,166.915,0.158,213.299,0.203,168.921,2.948,81.226,0.02,-23.49,0.241,16.56,0.438,123.636,0.856,22.141,0.089,83.631,0.035
22,4,6,165.528,2.819,209.411,0.504,155.258,0.987,79.852,0.061,-24.563,1.272,22.476,0.319,108.654,2.251,25.909,0.613,82.144,0.195
23,4,6,164.558,3.942,208.402,1.148,156.078,0.225,79.504,0.046,-24.637,0.476,21.563,0.132,113.105,0.422,25.219,0.072,81.919,0.07
