group_id,well_index,color_space,channel,value
1,0,RGB,R',0.6318040115654349
1,0,RGB,G',0.36626121922648114
1,0,RGB,B',0.0019347692080840216
1,1,RGB,R',0.6569396628380894
1,1,RGB,G',0.3429483225367707
1,1,RGB,B',0.00011201462513997737
1,2,RGB,R',0.630109595045232
1,2,RGB,G',0.36861582120125974
1,2,RGB,B',0.001274583753508283
1,3,RGB,R',0.6044775921118755
1,3,RGB,G',0.39051426118135724
1,3,RGB,B',0.005008146706767299
1,4,RGB,R',0.565240621859665
1,4,RGB,G',0.43096745074192216
1,4,RGB,B',0.0037919273984129676
1,5,RGB,R',0.6207715248232165
1,5,RGB,G',0.37905819538298274
1,5,RGB,B',0.00017027979380064293
2,6,RGB,R',0.9138786292677638
2,6,RGB,G',0.08102187446458169
2,6,RGB,B',0.005099496267654581
2,7,RGB,R',0.9251825975479109
2,7,RGB,G',0.07432232863260037
2,7,RGB,B',0.0004950738194889085
2,8,RGB,R',0.9354504136564897
2,8,RGB,G',0.06430817544300033
2,8,RGB,B',0.0002414109005099388
2,9,RGB,R',0.9138325493589189
2,9,RGB,G',0.08092611101726098
2,9,RGB,B',0.005241339623820308
2,10,RGB,R',0.8652356256443592
2,10,RGB,G',0.12406261530785334
2,10,RGB,B',0.010701759047787557
2,11,RGB,R',0.8420081534860403
2,11,RGB,G',0.14105099007078953
2,11,RGB,B',0.016940856443170057
3,12,RGB,R',0.5240752094691683
3,12,RGB,G',0.47297826144855964
3,12,RGB,B',0.002946529082272146
3,13,RGB,R',0.520017483572971
3,13,RGB,G',0.4709492803392591
3,13,RGB,B',0.009033236087770022
3,14,RGB,R',0.5302000185818867
3,14,RGB,G',0.4614951297383877
3,14,RGB,B',0.008304851679725542
3,15,RGB,R',0.5582916555207205
3,15,RGB,G',0.4381737251207468
3,15,RGB,B',0.003534619358532708
3,16,RGB,R',0.5267416761597006
3,16,RGB,G',0.4722552599625526
3,16,RGB,B',0.0010030638777468247
3,17,RGB,R',0.5648770513682805
3,17,RGB,G',0.4291603993450281
3,17,RGB,B',0.005962549286691559
4,18,RGB,R',0.2846702948458248
4,18,RGB,G',0.46734601022549105
4,18,RGB,B',0.24798369492868413
4,19,RGB,R',0.26257141328254696
4,19,RGB,G',0.44839591638504267
4,19,RGB,B',0.2890326703324104
4,20,RGB,R',0.2886527352177825
4,20,RGB,G',0.33415404534374105
4,20,RGB,B',0.3771932194384765
4,21,RGB,R',0.2662345262104876
4,21,RGB,G',0.46039320751963403
4,21,RGB,B',0.2733722662698784
4,22,RGB,R',0.28103693415755443
4,22,RGB,G',0.4749719566926338
4,22,RGB,B',0.24399110914981162
4,23,RGB,R',0.27905673972984213
4,23,RGB,G',0.4726379553716607
4,23,RGB,B',0.24830530489849711
1,0,LAB,L',0.7202516666666666
1,0,LAB,C',0.8182761989132884
1,0,LAB,h',0.24097598550572868
1,1,LAB,L',0.728225
1,1,LAB,C',0.8435722781719878
1,1,LAB,h',0.2303054670674265
1,2,LAB,L',0.7298933333333334
1,2,LAB,C',0.8305622607946825
1,2,LAB,h',0.2405055357939026
1,3,LAB,L',0.7465366666666666
1,3,LAB,C',0.8231281419017383
1,3,LAB,h',0.24839799728671702
1,4,LAB,L',0.7062666666666666
1,4,LAB,C',0.7890743146377358
1,4,LAB,h',0.26329610767610157
1,5,LAB,L',0.6728116666666666
1,5,LAB,C',0.7789803314572287
1,5,LAB,h',0.24354867190216034
2,6,LAB,L',0.5903133333333332
2,6,LAB,C',1.0
2,6,LAB,h',0.12965713917347665
2,7,LAB,L',0.5618383333333333
2,7,LAB,C',0.9919420734100965
2,7,LAB,h',0.13233980101156376
2,8,LAB,L',0.5612016666666667
2,8,LAB,C',1.0
2,8,LAB,h',0.12790164044207206
2,9,LAB,L',0.5863266666666667
2,9,LAB,C',0.9952102920246818
2,9,LAB,h',0.12978230095641535
2,10,LAB,L',0.6227716666666666
2,10,LAB,C',0.9238583517573248
2,10,LAB,h',0.1408984768077777
2,11,LAB,L',0.6411666666666666
2,11,LAB,C',0.8861628181812775
2,11,LAB,h',0.14279262664720216
3,12,LAB,L',0.822435
3,12,LAB,C',0.906677236091297
3,12,LAB,h',0.2767340896847672
3,13,LAB,L',0.86537
3,13,LAB,C',0.9214291610419775
3,13,LAB,h',0.2779884962891711
3,14,LAB,L',0.8656133333333332
3,14,LAB,C',0.9200182060076656
3,14,LAB,h',0.27429794157342
3,15,LAB,L',0.84745
3,15,LAB,C',0.9214750924356389
3,15,LAB,h',0.2661503503815671
3,16,LAB,L',0.8300183333333332
3,16,LAB,C',0.9226547549092486
3,16,LAB,h',0.2769177254495763
3,17,LAB,L',0.8614183333333334
3,17,LAB,C',0.9235398364450957
3,17,LAB,h',0.26146876391790747
4,18,LAB,L',0.8251866666666667
4,18,LAB,C',0.3575475976446862
4,18,LAB,h',0.3832071885460288
4,19,LAB,L',0.8332466666666666
4,19,LAB,C',0.294289698099571
4,19,LAB,h',0.4099629773453316
4,20,LAB,L',0.8894850000000001
4,20,LAB,C',0.08545869360238692
4,20,LAB,h',0.6891646172586455
4,21,LAB,L',0.812255
4,21,LAB,C',0.3169979347327117
4,21,LAB,h',0.4022680935900046
4,22,LAB,L',0.79852
4,22,LAB,C',0.36722905462808725
4,22,LAB,h',0.3820566695019421
4,23,LAB,L',0.7950416666666666
4,23,LAB,C',0.36112511931530444
4,23,LAB,h',0.38557338840920463
1,0,HSV,H',0.13195324074074075
1,0,HSV,S',0.9756516666666666
1,0,HSV,V',0.8437566666666667
1,1,HSV,H',0.12397916666666667
1,1,HSV,S',0.998345
1,1,HSV,V',0.8891483333333333
1,2,HSV,H',0.1315800925925926
1,2,HSV,S',0.9795983333333333
1,2,HSV,V',0.8602383333333334
1,3,HSV,H',0.1343277777777778
1,3,HSV,S',0.9189066666666668
1,3,HSV,V',0.85682
1,4,HSV,H',0.14482453703703704
1,4,HSV,S',0.9367933333333334
1,4,HSV,V',0.7653033333333333
1,5,HSV,H',0.13359907407407406
1,5,HSV,S',0.9974733333333334
1,5,HSV,V',0.7786700000000001
2,6,HSV,H',0.04826018518518519
2,6,HSV,S',0.9346733333333332
2,6,HSV,V',0.9911483333333332
2,7,HSV,H',0.050897222222222226
2,7,HSV,S',0.9928949999999999
2,7,HSV,V',0.9477150000000001
2,8,HSV,H',0.046627314814814816
2,8,HSV,S',0.9972366666666665
2,8,HSV,V',0.9679533333333334
2,9,HSV,H',0.04594814814814814
2,9,HSV,S',0.9331733333333334
2,9,HSV,V',0.98454
2,10,HSV,H',0.057244907407407404
2,10,HSV,S',0.89032
2,10,HSV,V',0.9859133333333334
2,11,HSV,H',0.05693333333333333
2,11,HSV,S',0.8468466666666667
2,11,HSV,V',0.99354
3,12,HSV,H',0.1572902777777778
3,12,HSV,S',0.9424049999999999
3,12,HSV,V',0.8619666666666665
3,13,HSV,H',0.15945185185185184
3,13,HSV,S',0.86548
