group_id,color_space,channel,group_mean,group_std,measurement_uncertainty,process_uncertainty,uncertainty_ratio,num_wells,num_measurements
1,RGB,R,212.616,11.94,1.673,12.656,7.566,6,36
1,RGB,G,170.718,6.469,0.791,6.887,8.707,6,36
1,RGB,B,7.042,6.942,1.894,6.73,3.553,6,36
1,LAB,L,71.733,2.359,0.074,2.547,34.489,6,36
1,LAB,A,2.63,4.875,0.958,5.096,5.317,6,36
1,LAB,B,73.602,2.034,0.245,2.169,8.85,6,36
1,HSV,H,48.016,2.285,0.393,2.418,6.158,6,36
1,HSV,S,96.779,3.092,0.451,3.276,7.265,6,36
1,HSV,V,83.232,4.576,0.311,4.921,15.83,6,36
2,RGB,R,249.242,4.889,1.701,4.472,2.628,6,36
2,RGB,G,88.194,15.511,1.091,16.665,15.269,6,36
2,RGB,B,17.144,13.717,0.34,14.81,43.583,6,36
2,LAB,L,59.394,2.998,0.076,3.236,42.398,6,36
2,LAB,A,58.746,5.396,0.439,5.781,13.158,6,36
2,LAB,B,65.469,1.415,0.229,1.502,6.569,6,36
2,HSV,H,18.355,1.687,0.195,1.81,9.278,6,36
2,HSV,S,93.252,5.394,0.14,5.824,41.727,6,36
2,HSV,V,97.847,1.633,0.143,1.753,12.268,6,36
3,RGB,R,230.949,8.705,0.926,9.328,10.078,6,36
3,RGB,G,214.951,4.678,0.389,5.035,12.945,6,36
3,RGB,B,19.937,9.816,1.004,10.487,10.442,6,36
3,LAB,L,84.872,1.74,0.032,1.879,58.135,6,36
3,LAB,A,-11.603,3.274,0.315,3.518,11.177,6,36
3,LAB,B,82.471,0.786,0.058,0.847,14.554,6,36
3,HSV,H,55.262,2.064,0.202,2.216,10.986,6,36
3,HSV,S,91.55,4.214,0.228,4.546,19.964,6,36
3,HSV,V,90.764,3.44,0.154,3.712,24.095,6,36
4,RGB,R,175.643,16.396,1.403,17.594,12.541,6,36
4,RGB,G,215.291,5.783,0.457,6.221,13.622,6,36
4,RGB,B,176.789,28.774,1.618,30.994,19.161,6,36
4,LAB,L,82.562,3.203,0.04,3.46,85.717,6,36
4,LAB,A,-20.363,7.979,0.516,8.596,16.656,6,36
4,LAB,B,14.904,10.476,0.377,11.307,29.985,6,36
4,HSV,H,131.299,34.205,0.97,36.928,38.054,6,36
4,HSV,S,21.649,5.279,0.265,5.693,21.479,6,36
4,HSV,V,85.159,3.585,0.116,3.87,33.456,6,36
