channel,channel_type,coef_v_R,coef_v_Y,coef_v_B
RGB_R,raw,0.38957387479459915,0.2529408065703682,-0.6425146813649676
RGB_G,raw,-0.5959382506412724,0.3937875084516107,0.20215074218966186
RGB_B,raw,0.24001187739457794,-0.299520195556792,0.059508318162213976
LAB_L,raw,-0.3196894265832254,0.5683042775294704,-0.24861485094624494
LAB_A,raw,0.5785986700062317,-0.01958500832429383,-0.5590136616819377
LAB_B,raw,-0.1876930006703188,0.5732046837719647,-0.38551168310164585
HSV_H,raw,-0.5387821801689767,-0.06059429835296948,0.5993764785219462
HSV_S,raw,-0.17064177861698088,0.3104844049199637,-0.13984262630298275
HSV_V,raw,0.438870008838601,0.18697411290608623,-0.6258441217446874
R',normalized,0.5499811601531415,0.027108929333622855,-0.5770900894867644
G',normalized,-0.5206561581207955,-0.08781383646303964,0.6084699945838351
B',normalized,-0.1957106323532846,0.4037784041417241,-0.20806777178843958
L',normalized,-0.31969336895906464,0.5683032858562069,-0.24860991689714237
C',normalized,0.32692343971301135,-0.02038845155803376,-0.30653498815497765
h',normalized,-0.5728266233488781,0.001600453676013247,0.571226169672865
H',normalized,-0.5387806250852059,-0.06059710585976241,0.5993777309449684
S',normalized,-0.17064676265988518,0.3104860039563895,-0.1398392412965044
V',normalized,0.43887086664413194,0.18697346397412268,-0.6258443306182548
