well_index,group_id,num_replicates,RGB_R_mean,RGB_R_std,RGB_G_mean,RGB_G_std,RGB_B_mean,RGB_B_std,LAB_L_mean,LAB_L_std,LAB_A_mean,LAB_A_std,LAB_B_mean,LAB_B_std,HSV_H_mean,HSV_H_std,HSV_S_mean,HSV_S_std,HSV_V_mean,HSV_V_std
0,1,6,210.957,3.58,147.052,1.993,0.664,0.047,65.595,0.043,14.238,1.084,70.084,0.07,41.936,0.072,99.729,0.028,82.196,0.053
1,1,6,224.274,0.375,167.501,0.42,3.627,1.053,72.076,0.041,9.867,0.396,74.867,0.072,44.472,0.169,98.547,0.312,88.015,0.161
2,1,6,221.615,0.251,167.548,0.267,3.7,0.367,71.802,0.097,8.199,0.312,74.559,0.092,44.958,0.167,98.102,0.186,86.871,0.078
3,1,6,206.6,2.055,172.011,0.592,1.882,0.663,71.464,0.038,-1.439,0.183,73.734,0.055,50.555,0.145,99.106,0.16,80.577,0.091
4,1,6,199.227,2.885,170.522,2.19,15.406,3.995,70.113,0.835,-3.697,1.488,70.7,0.22,51.031,1.834,91.74,1.636,77.702,1.905
5,1,6,215.812,0.537,177.012,0.488,28.361,0.686,73.596,0.448,0.77,0.364,71.807,0.147,47.707,0.231,86.437,0.187,84.66,0.174
6,2,6,239.784,3.275,126.834,1.955,57.618,0.478,64.767,0.385,37.498,0.132,55.405,0.355,23.765,0.088,76.087,0.324,93.522,0.036
7,2,6,240.236,0.361,112.457,0.276,34.826,0.471,61.984,0.022,45.221,0.177,61.726,0.234,23.225,0.263,85.665,0.161,94.272,0.104
8,2,6,235.298,2.156,80.727,1.201,0.968,0.58,55.861,0.045,57.644,0.067,66.021,0.063,20.038,0.021,99.698,0.051,92.691,0.06
9,2,6,247.005,0.32,98.892,0.179,17.043,0.283,60.549,0.027,53.547,0.173,66.332,0.079,21.475,0.166,92.996,0.17,96.879,0.087
10,2,6,245.088,0.411,88.037,0.331,6.697,0.356,58.441,0.073,57.605,0.251,67.066,0.154,20.063,0.045,97.303,0.052,96.182,0.091
11,2,6,241.734,0.644,83.758,0.334,0.699,0.041,57.297,0.056,57.911,0.258,67.209,0.088,20.648,0.358,99.716,0.049,94.773,0.278
12,3,6,208.374,2.958,179.006,0.89,0.362,0.033,73.502,0.035,-3.053,0.077,75.682,0.042,51.878,0.06,99.854,0.017,82.198,0.028
13,3,6,220.841,0.061,190.518,0.073,0.162,0.021,77.615,0.035,-4.098,0.029,78.963,0.034,52.0,0.0,99.938,0.009,86.629,0.047
14,3,6,225.309,1.201,181.62,0.206,0.273,0.086,75.715,0.047,2.484,0.239,77.813,0.081,48.038,0.026,99.912,0.011,88.64,0.25
15,3,6,228.626,0.389,182.962,0.137,0.505,0.067,76.366,0.057,2.883,0.152,78.4,0.067,48.092,0.093,99.795,0.038,89.685,0.185
16,3,6,217.613,0.32,166.767,0.219,0.15,0.044,71.247,0.018,6.92,0.082,74.204,0.019,46.031,0.042,99.926,0.014,85.2,0.132
17,3,6,235.696,2.385,176.977,0.849,0.236,0.012,75.584,0.032,9.795,0.125,78.326,0.028,44.622,0.071,99.904,0.009,92.784,0.025
18,4,6,111.628,0.69,176.565,0.161,29.569,3.072,65.676,0.048,-42.034,0.089,61.154,0.134,86.091,0.118,82.673,0.094,69.216,0.072
19,4,6,109.418,0.406,175.108,0.306,28.971,0.519,65.09,0.061,-42.569,0.316,61.227,0.075,86.452,0.271,83.704,0.111,68.699,0.089
20,4,6,86.356,1.073,155.148,0.726,6.012,3.626,57.618,0.067,-43.402,0.206,58.956,0.316,87.766,0.146,97.214,0.538,60.937,0.098
21,4,6,100.247,3.313,161.712,0.664,9.85,1.481,60.323,0.072,-40.301,0.398,60.73,0.14,83.795,0.138,93.7,0.283,63.245,0.05
22,4,6,100.153,0.464,159.139,0.285,2.669,0.445,59.5,0.03,-39.808,0.284,61.131,0.061,83.012,0.316,98.368,0.186,62.474,0.099
23,4,6,90.144,2.168,155.854,0.252,1.917,0.24,57.986,0.047,-42.524,0.097,59.859,0.049,86.366,0.074,98.87,0.135,61.222,0.02
