well_index,group_id,replicate_id,measurement_id,timestamp,RGB_R,RGB_G,RGB_B,LAB_L,LAB_A,LAB_B,HSV_H,HSV_S,HSV_V
0,1,1,well_00_rep_01,2026-02-24T14:19:57.150629,218.262,142.993,0.632,65.568,16.431,70.205,41.969,99.769,82.14
0,1,2,well_00_rep_02,2026-02-24T14:20:06.750944,209.607,147.969,0.668,65.539,13.954,70.062,41.881,99.745,82.2
0,1,3,well_00_rep_03,2026-02-24T14:20:16.351345,209.401,147.621,0.73,65.621,13.756,70.028,41.818,99.703,82.28
0,1,4,well_00_rep_04,2026-02-24T14:20:25.933968,209.511,147.829,0.682,65.566,13.964,70.029,41.958,99.714,82.141
0,1,5,well_00_rep_05,2026-02-24T14:20:35.534097,209.377,148.005,0.594,65.639,13.593,70.049,41.973,99.747,82.221
0,1,6,well_00_rep_06,2026-02-24T14:20:45.133898,209.582,147.894,0.678,65.639,13.727,70.129,42.014,99.698,82.194
1,1,1,well_01_rep_01,2026-02-24T14:20:55.437922,223.7,168.126,5.252,72.134,9.485,74.829,44.689,98.57,87.859
1,1,2,well_01_rep_02,2026-02-24T14:21:05.038258,224.049,167.888,3.711,72.114,9.622,74.911,44.655,98.385,87.796
1,1,3,well_01_rep_03,2026-02-24T14:21:14.638405,224.632,167.01,4.338,72.038,9.718,74.745,44.287,98.201,88.128
1,1,4,well_01_rep_04,2026-02-24T14:21:24.222943,224.488,167.244,3.221,72.037,10.484,74.905,44.452,98.338,88.072
1,1,5,well_01_rep_05,2026-02-24T14:21:33.822933,224.139,167.347,2.302,72.08,9.663,74.944,44.308,99.059,88.219
1,1,6,well_01_rep_06,2026-02-24T14:21:43.422809,224.638,167.393,2.941,72.052,10.231,74.866,44.444,98.73,88.014
2,1,1,well_02_rep_01,2026-02-24T14:21:53.726768,221.214,167.996,4.022,71.958,7.747,74.705,45.228,98.159,86.768
2,1,2,well_02_rep_02,2026-02-24T14:22:03.326924,221.501,167.561,4.289,71.813,8.049,74.541,44.928,97.872,86.816
2,1,3,well_02_rep_03,2026-02-24T14:22:12.910398,221.607,167.697,3.522,71.854,8.023,74.537,44.936,97.949,86.928
2,1,4,well_02_rep_04,2026-02-24T14:22:22.510412,221.718,167.397,3.537,71.728,8.4,74.419,44.961,98.22,86.831
2,1,5,well_02_rep_05,2026-02-24T14:22:32.111251,221.676,167.366,3.45,71.769,8.588,74.586,44.989,98.377,86.908
2,1,6,well_02_rep_06,2026-02-24T14:22:41.718956,221.972,167.268,3.381,71.688,8.389,74.564,44.706,98.036,86.975
3,1,1,well_03_rep_01,2026-02-24T14:22:52.015556,210.768,170.954,0.722,71.454,-1.41,73.776,50.54,99.258,80.698
3,1,2,well_03_rep_02,2026-02-24T14:23:01.615114,205.77,172.115,1.821,71.47,-1.682,73.75,50.643,99.074,80.456
3,1,3,well_03_rep_03,2026-02-24T14:23:11.199631,205.425,172.39,1.829,71.44,-1.562,73.681,50.327,98.899,80.657
3,1,4,well_03_rep_04,2026-02-24T14:23:20.798367,205.859,172.097,2.354,71.494,-1.491,73.736,50.761,99.064,80.503
3,1,5,well_03_rep_05,2026-02-24T14:23:30.397744,206.123,171.838,2.672,71.515,-1.161,73.801,50.508,99.331,80.588
3,1,6,well_03_rep_06,2026-02-24T14:23:39.998907,205.652,172.675,1.893,71.408,-1.328,73.659,50.554,99.009,80.559
4,1,1,well_04_rep_01,2026-02-24T14:23:51.470615,198.947,171.848,13.799,70.674,-4.103,70.897,51.107,90.8,78.049
4,1,2,well_04_rep_02,2026-02-24T14:24:01.071085,198.801,171.996,18.074,70.495,-3.559,70.648,51.354,90.254,77.858
4,1,3,well_04_rep_03,2026-02-24T14:24:10.653919,198.836,171.796,17.947,70.643,-3.814,70.771,51.476,90.946,77.843
4,1,4,well_04_rep_04,2026-02-24T14:24:20.254920,199.083,171.534,18.541,69.581,-6.183,70.297,53.733,92.877,74.068
4,1,5,well_04_rep_05,2026-02-24T14:24:29.853858,195.352,166.486,8.092,68.637,-1.73,70.708,48.051,94.543,79.587
4,1,6,well_04_rep_06,2026-02-24T14:24:39.455376,204.343,169.469,15.984,70.648,-2.793,70.879,50.464,91.023,78.807
5,1,1,well_05_rep_01,2026-02-24T14:24:49.759324,216.491,176.771,27.652,73.717,1.374,71.973,47.332,86.493,84.911
5,1,2,well_05_rep_02,2026-02-24T14:24:59.358265,215.94,176.671,28.679,73.659,0.974,71.757,47.589,86.647,84.813
5,1,3,well_05_rep_03,2026-02-24T14:25:08.953649,214.992,176.581,27.453,72.71,0.417,71.654,47.778,86.637,84.519
5,1,4,well_05_rep_04,2026-02-24T14:25:18.544627,215.619,176.78,28.574,73.69,0.484,71.966,47.684,86.191,84.474
5,1,5,well_05_rep_05,2026-02-24T14:25:28.142815,215.572,177.594,28.525,73.851,0.818,71.848,47.87,86.29,84.558
5,1,6,well_05_rep_06,2026-02-24T14:25:37.742923,216.256,177.674,29.284,73.95,0.555,71.643,47.99,86.364,84.688
