group_id,color_space,channel,group_mean,group_std,measurement_uncertainty,process_uncertainty,uncertainty_ratio,num_wells,num_measurements
1,RGB,R,213.081,8.934,1.614,9.424,5.839,6,36
1,RGB,G,166.941,9.659,0.992,10.356,10.443,6,36
1,RGB,B,8.94,10.21,1.135,10.89,9.594,6,36
1,LAB,L,70.774,2.593,0.25,2.773,11.076,6,36
1,LAB,A,4.656,6.634,0.638,7.121,11.169,6,36
1,LAB,B,72.625,1.893,0.109,2.041,18.707,6,36
1,HSV,H,46.777,3.42,0.436,3.614,8.285,6,36
1,HSV,S,95.61,4.995,0.418,5.351,12.79,6,36
1,HSV,V,83.337,3.701,0.41,3.919,9.548,6,36
2,RGB,R,241.524,4.135,1.195,4.153,3.476,6,36
2,RGB,G,98.451,16.793,0.713,18.113,25.419,6,36
2,RGB,B,19.642,20.93,0.368,22.604,61.376,6,36
2,LAB,L,59.816,3.036,0.101,3.275,32.393,6,36
2,LAB,A,51.571,7.811,0.176,8.435,47.808,6,36
2,LAB,B,63.96,4.312,0.162,4.653,28.699,6,36
2,HSV,H,21.536,1.506,0.157,1.614,10.279,6,36
2,HSV,S,91.911,8.698,0.135,9.394,69.753,6,36
2,HSV,V,94.72,1.472,0.11,1.584,14.459,6,36
3,RGB,R,222.743,8.869,1.219,9.438,7.741,6,36
3,RGB,G,179.642,7.265,0.395,7.829,19.798,6,36
3,RGB,B,0.281,0.133,0.044,0.134,3.058,6,36
3,LAB,L,75.005,2.107,0.037,2.276,60.858,6,36
3,LAB,A,2.488,5.026,0.117,5.427,46.331,6,36
3,LAB,B,77.231,1.731,0.045,1.869,41.452,6,36
3,HSV,H,48.443,2.783,0.049,3.005,61.777,6,36
3,HSV,S,99.888,0.053,0.016,0.054,3.286,6,36
3,HSV,V,87.523,3.42,0.111,3.692,33.2,6,36
4,RGB,R,99.658,9.454,1.352,10.066,7.443,6,36
4,RGB,G,163.921,8.84,0.399,9.537,23.902,6,36
4,RGB,B,13.165,11.992,1.564,12.789,8.178,6,36
4,LAB,L,61.032,3.256,0.054,3.516,64.771,6,36
4,LAB,A,-41.773,1.327,0.232,1.41,6.092,6,36
4,LAB,B,60.51,0.861,0.129,0.917,7.095,6,36
4,HSV,H,85.58,1.676,0.177,1.8,10.156,6,36
4,HSV,S,92.422,6.84,0.225,7.383,32.88,6,36
4,HSV,V,64.299,3.434,0.071,3.708,52.056,6,36
