well_index,group_id,num_replicates,RGB_R_mean,RGB_R_std,RGB_G_mean,RGB_G_std,RGB_B_mean,RGB_B_std,LAB_L_mean,LAB_L_std,LAB_A_mean,LAB_A_std,LAB_B_mean,LAB_B_std,HSV_H_mean,HSV_H_std,HSV_S_mean,HSV_S_std,HSV_V_mean,HSV_V_std
0,1,6,220.138,6.761,119.78,4.271,8.911,5.165,60.497,0.032,31.722,1.53,65.947,0.257,32.662,0.255,96.821,0.2,85.232,0.086
1,1,6,229.721,0.206,133.582,0.243,19.062,0.233,64.804,0.019,30.064,0.225,67.87,0.081,32.558,0.192,91.978,0.086,90.039,0.091
2,1,6,229.818,0.523,136.73,0.433,20.716,0.355,65.571,0.026,28.646,0.186,67.962,0.118,33.712,0.245,91.086,0.15,90.247,0.151
3,1,6,232.629,1.531,127.793,0.999,22.584,2.407,63.998,0.05,34.69,0.158,66.425,0.256,29.623,0.061,89.884,0.214,91.467,0.08
4,1,6,214.236,0.727,135.459,0.19,46.932,2.52,63.364,0.051,22.984,0.155,56.529,0.266,31.654,0.211,77.733,0.338,83.964,0.07
5,1,6,224.194,0.547,148.215,0.843,55.978,0.863,67.71,0.056,21.363,1.157,58.089,0.695,32.785,0.923,75.306,0.833,88.459,1.118
6,2,6,216.512,0.139,204.108,0.48,36.636,3.562,80.751,0.028,-12.131,0.131,75.256,0.089,56.0,0.0,82.493,0.294,84.863,0.082
7,2,6,210.944,0.209,196.795,0.264,23.061,1.104,78.306,0.026,-11.109,0.2,76.342,0.12,55.134,0.243,89.002,0.495,82.746,0.15
8,2,6,202.792,1.709,182.603,0.572,0.769,1.245,73.861,0.293,-7.76,0.622,75.606,0.325,53.719,0.08,99.894,0.015,79.937,0.113
9,2,6,223.554,2.476,182.725,0.585,0.659,0.148,75.889,0.079,1.841,0.154,77.821,0.094,48.275,0.125,99.711,0.03,87.99,0.181
10,2,6,222.774,0.312,172.894,0.155,0.351,0.04,73.298,0.084,5.848,0.318,75.991,0.01,46.613,0.197,99.84,0.022,87.344,0.135
11,2,6,225.895,0.199,168.18,0.34,0.288,0.028,72.56,0.047,9.847,0.131,75.653,0.024,44.27,0.228,99.889,0.012,88.53,0.135
12,3,6,32.233,0.223,158.482,0.197,74.738,0.86,57.452,0.025,-51.725,0.166,34.354,0.221,139.912,0.069,79.68,0.123,62.097,0.048
13,3,6,49.868,4.226,164.863,0.864,53.758,1.459,59.698,0.085,-53.47,0.264,47.12,0.181,120.898,0.494,68.867,0.175,64.546,0.028
14,3,6,46.199,0.463,162.124,0.276,61.748,1.838,58.799,0.1,-52.456,0.164,41.658,0.336,128.274,0.131,71.407,0.261,63.499,0.102
15,3,6,41.014,2.869,160.564,0.659,62.964,0.435,58.379,0.135,-53.136,0.095,40.803,0.293,131.588,0.399,75.314,0.217,63.18,0.147
16,3,6,40.178,1.811,150.994,0.18,49.732,2.121,54.957,0.071,-51.162,0.107,43.486,0.231,124.544,0.218,73.125,0.205,59.28,0.069
17,3,6,50.288,0.324,160.207,0.156,58.058,0.181,58.32,0.043,-51.44,0.149,43.138,0.088,124.443,0.285,68.519,0.219,62.9,0.037
18,4,6,171.491,0.458,140.726,0.219,0.148,0.022,59.664,0.05,0.343,0.32,63.918,0.022,49.375,0.114,99.941,0.012,67.223,0.097
19,4,6,163.994,3.37,139.38,1.027,0.566,0.06,58.418,0.066,-2.961,0.395,62.656,0.035,51.843,0.227,99.603,0.062,63.751,0.19
20,4,6,136.916,0.373,126.174,0.45,0.487,0.051,52.17,0.049,-7.941,0.18,57.049,0.027,55.734,0.144,99.616,0.025,53.682,0.036
21,4,6,148.331,0.376,131.441,0.267,0.499,0.045,54.807,0.042,-5.326,0.235,59.538,0.073,53.703,0.185,99.606,0.063,58.086,0.11
22,4,6,143.583,0.464,132.892,0.088,0.58,0.084,54.663,0.039,-8.398,0.12,59.288,0.031,55.636,0.184,99.617,0.06,56.187,0.145
23,4,6,141.16,2.383,131.9,0.458,0.26,0.057,54.234,0.044,-9.66,0.216,58.802,0.042,56.711,0.146,99.83,0.02,54.885,0.16
