well_index,group_id,replicate_id,measurement_id,timestamp,RGB_R,RGB_G,RGB_B,LAB_L,LAB_A,LAB_B,HSV_H,HSV_S,HSV_V
0,1,1,well_00_rep_01,2026-03-13T12:47:54.404028,233.923,111.081,19.419,60.457,34.815,65.444,32.833,96.531,85.214
0,1,2,well_00_rep_02,2026-03-13T12:48:03.975799,217.808,121.194,7.354,60.554,30.887,66.124,32.666,96.906,85.206
0,1,3,well_00_rep_03,2026-03-13T12:48:13.575993,217.042,121.861,7.189,60.505,31.455,66.119,32.61,97.071,85.297
0,1,4,well_00_rep_04,2026-03-13T12:48:23.176894,217.563,121.315,6.794,60.484,31.006,66.055,32.26,96.672,85.316
0,1,5,well_00_rep_05,2026-03-13T12:48:32.776210,217.526,121.406,6.288,60.492,31.225,65.928,33.017,96.968,85.081
0,1,6,well_00_rep_06,2026-03-13T12:48:42.377373,216.963,121.826,6.42,60.491,30.942,66.012,32.587,96.778,85.276
1,1,1,well_01_rep_01,2026-03-13T12:48:52.665428,229.415,133.614,19.208,64.778,29.971,67.997,32.676,92.023,89.985
1,1,2,well_01_rep_02,2026-03-13T12:49:02.264518,229.897,133.212,19.154,64.815,29.879,67.846,32.275,92.063,90.11
1,1,3,well_01_rep_03,2026-03-13T12:49:11.865064,229.972,133.434,19.066,64.794,30.1,67.901,32.842,92.051,89.898
1,1,4,well_01_rep_04,2026-03-13T12:49:21.464321,229.661,133.905,18.741,64.801,30.029,67.847,32.546,91.885,90.023
1,1,5,well_01_rep_05,2026-03-13T12:49:31.064108,229.593,133.757,18.841,64.835,29.912,67.883,32.554,91.985,90.069
1,1,6,well_01_rep_06,2026-03-13T12:49:40.424183,229.786,133.57,19.36,64.8,30.494,67.749,32.457,91.861,90.152
2,1,1,well_02_rep_01,2026-03-13T12:49:50.729529,229.229,136.901,20.97,65.528,28.811,67.931,33.79,91.005,90.105
2,1,2,well_02_rep_02,2026-03-13T12:50:00.327652,229.996,136.46,20.419,65.562,28.762,68.05,33.478,91.149,90.492
2,1,3,well_02_rep_03,2026-03-13T12:50:09.912379,229.782,136.445,21.104,65.577,28.379,68.044,33.924,91.241,90.265
2,1,4,well_02_rep_04,2026-03-13T12:50:19.512912,229.725,137.253,20.169,65.568,28.493,67.744,33.339,90.863,90.311
2,1,5,well_02_rep_05,2026-03-13T12:50:29.112253,230.734,136.175,20.768,65.589,28.601,68.042,33.92,91.018,90.236
2,1,6,well_02_rep_06,2026-03-13T12:50:38.713101,229.442,137.144,20.869,65.603,28.833,67.96,33.82,91.24,90.075
3,1,1,well_03_rep_01,2026-03-13T12:50:48.776743,229.554,129.822,17.746,63.941,34.711,66.299,29.621,89.78,91.457
3,1,2,well_03_rep_02,2026-03-13T12:50:58.376716,233.446,127.29,24.066,63.945,34.852,66.034,29.523,89.597,91.473
3,1,3,well_03_rep_03,2026-03-13T12:51:07.977897,233.321,127.301,23.885,64.013,34.63,66.514,29.627,90.01,91.6
3,1,4,well_03_rep_04,2026-03-13T12:51:17.575767,233.082,127.386,23.399,64.023,34.544,66.76,29.598,89.722,91.494
3,1,5,well_03_rep_05,2026-03-13T12:51:27.159281,233.567,127.402,23.553,64.073,34.892,66.601,29.675,90.062,91.409
3,1,6,well_03_rep_06,2026-03-13T12:51:36.761368,232.806,127.556,22.854,63.991,34.51,66.344,29.694,90.132,91.368
4,1,1,well_04_rep_01,2026-03-13T12:51:48.232840,215.706,135.355,42.489,63.428,22.699,56.895,31.834,77.825,83.892
4,1,2,well_04_rep_02,2026-03-13T12:51:57.843497,213.836,135.356,49.184,63.319,22.927,56.224,31.733,77.9,83.972
4,1,3,well_04_rep_03,2026-03-13T12:52:07.435122,214.114,135.295,48.369,63.379,23.021,56.626,31.717,77.494,83.983
4,1,4,well_04_rep_04,2026-03-13T12:52:17.032888,213.996,135.804,45.462,63.416,23.103,56.743,31.239,77.211,84.022
4,1,5,well_04_rep_05,2026-03-13T12:52:26.617078,213.897,135.552,48.393,63.323,23.111,56.383,31.66,77.787,83.87
4,1,6,well_04_rep_06,2026-03-13T12:52:36.216802,213.866,135.39,47.692,63.317,23.045,56.302,31.739,78.183,84.045
5,1,1,well_05_rep_01,2026-03-13T12:52:46.520395,224.662,148.548,56.145,67.75,20.891,57.898,33.049,74.8,88.06
5,1,2,well_05_rep_02,2026-03-13T12:52:56.121175,224.343,148.796,56.106,67.746,20.834,57.901,33.204,74.89,87.936
5,1,3,well_05_rep_03,2026-03-13T12:53:05.720922,224.327,148.483,57.354,67.774,20.625,58.125,33.1,74.954,88.032
5,1,4,well_05_rep_04,2026-03-13T12:53:15.320951,224.401,148.77,55.897,67.702,21.079,58.051,33.259,75.035,88.049
5,1,5,well_05_rep_05,2026-03-13T12:53:24.904941,224.323,148.125,55.688,67.637,21.049,57.216,33.192,75.169,87.94
5,1,6,well_05_rep_06,2026-03-13T12:53:34.504633,223.108,146.566,54.675,67.653,23.701,59.345,30.907,76.987,90.739
