well_index,group_id,replicate_id,measurement_id,timestamp,RGB_R,RGB_G,RGB_B,LAB_L,LAB_A,LAB_B,HSV_H,HSV_S,HSV_V
0,1,1,well_00_rep_01,2026-03-13T12:47:54.404028,233.923,111.081,19.419,60.457,34.815,65.444,32.833,96.531,85.214
0,1,2,well_00_rep_02,2026-03-13T12:48:03.975799,217.808,121.194,7.354,60.554,30.887,66.124,32.666,96.906,85.206
0,1,3,well_00_rep_03,2026-03-13T12:48:13.575993,217.042,121.861,7.189,60.505,31.455,66.119,32.61,97.071,85.297
0,1,4,well_00_rep_04,2026-03-13T12:48:23.176894,217.563,121.315,6.794,60.484,31.006,66.055,32.26,96.672,85.316
0,1,5,well_00_rep_05,2026-03-13T12:48:32.776210,217.526,121.406,6.288,60.492,31.225,65.928,33.017,96.968,85.081
0,1,6,well_00_rep_06,2026-03-13T12:48:42.377373,216.963,121.826,6.42,60.491,30.942,66.012,32.587,96.778,85.276
1,1,1,well_01_rep_01,2026-03-13T12:48:52.665428,229.415,133.614,19.208,64.778,29.971,67.997,32.676,92.023,89.985
1,1,2,well_01_rep_02,2026-03-13T12:49:02.264518,229.897,133.212,19.154,64.815,29.879,67.846,32.275,92.063,90.11
1,1,3,well_01_rep_03,2026-03-13T12:49:11.865064,229.972,133.434,19.066,64.794,30.1,67.901,32.842,92.051,89.898
1,1,4,well_01_rep_04,2026-03-13T12:49:21.464321,229.661,133.905,18.741,64.801,30.029,67.847,32.546,91.885,90.023
1,1,5,well_01_rep_05,2026-03-13T12:49:31.064108,229.593,133.757,18.841,64.835,29.912,67.883,32.554,91.985,90.069
1,1,6,well_01_rep_06,2026-03-13T12:49:40.424183,229.786,133.57,19.36,64.8,30.494,67.749,32.457,91.861,90.152
2,1,1,well_02_rep_01,2026-03-13T12:49:50.729529,229.229,136.901,20.97,65.528,28.811,67.931,33.79,91.005,90.105
2,1,2,well_02_rep_02,2026-03-13T12:50:00.327652,229.996,136.46,20.419,65.562,28.762,68.05,33.478,91.149,90.492
2,1,3,well_02_rep_03,2026-03-13T12:50:09.912379,229.782,136.445,21.104,65.577,28.379,68.044,33.924,91.241,90.265
2,1,4,well_02_rep_04,2026-03-13T12:50:19.512912,229.725,137.253,20.169,65.568,28.493,67.744,33.339,90.863,90.311
2,1,5,well_02_rep_05,2026-03-13T12:50:29.112253,230.734,136.175,20.768,65.589,28.601,68.042,33.92,91.018,90.236
2,1,6,well_02_rep_06,2026-03-13T12:50:38.713101,229.442,137.144,20.869,65.603,28.833,67.96,33.82,91.24,90.075
3,1,1,well_03_rep_01,2026-03-13T12:50:48.776743,229.554,129.822,17.746,63.941,34.711,66.299,29.621,89.78,91.457
3,1,2,well_03_rep_02,2026-03-13T12:50:58.376716,233.446,127.29,24.066,63.945,34.852,66.034,29.523,89.597,91.473
3,1,3,well_03_rep_03,2026-03-13T12:51:07.977897,233.321,127.301,23.885,64.013,34.63,66.514,29.627,90.01,91.6
3,1,4,well_03_rep_04,2026-03-13T12:51:17.575767,233.082,127.386,23.399,64.023,34.544,66.76,29.598,89.722,91.494
3,1,5,well_03_rep_05,2026-03-13T12:51:27.159281,233.567,127.402,23.553,64.073,34.892,66.601,29.675,90.062,91.409
3,1,6,well_03_rep_06,2026-03-13T12:51:36.761368,232.806,127.556,22.854,63.991,34.51,66.344,29.694,90.132,91.368
4,1,1,well_04_rep_01,2026-03-13T12:51:48.232840,215.706,135.355,42.489,63.428,22.699,56.895,31.834,77.825,83.892
4,1,2,well_04_rep_02,2026-03-13T12:51:57.843497,213.836,135.356,49.184,63.319,22.927,56.224,31.733,77.9,83.972
4,1,3,well_04_rep_03,2026-03-13T12:52:07.435122,214.114,135.295,48.369,63.379,23.021,56.626,31.717,77.494,83.983
4,1,4,well_04_rep_04,2026-03-13T12:52:17.032888,213.996,135.804,45.462,63.416,23.103,56.743,31.239,77.211,84.022
4,1,5,well_04_rep_05,2026-03-13T12:52:26.617078,213.897,135.552,48.393,63.323,23.111,56.383,31.66,77.787,83.87
4,1,6,well_04_rep_06,2026-03-13T12:52:36.216802,213.866,135.39,47.692,63.317,23.045,56.302,31.739,78.183,84.045
5,1,1,well_05_rep_01,2026-03-13T12:52:46.520395,224.662,148.548,56.145,67.75,20.891,57.898,33.049,74.8,88.06
5,1,2,well_05_rep_02,2026-03-13T12:52:56.121175,224.343,148.796,56.106,67.746,20.834,57.901,33.204,74.89,87.936
5,1,3,well_05_rep_03,2026-03-13T12:53:05.720922,224.327,148.483,57.354,67.774,20.625,58.125,33.1,74.954,88.032
5,1,4,well_05_rep_04,2026-03-13T12:53:15.320951,224.401,148.77,55.897,67.702,21.079,58.051,33.259,75.035,88.049
5,1,5,well_05_rep_05,2026-03-13T12:53:24.904941,224.323,148.125,55.688,67.637,21.049,57.216,33.192,75.169,87.94
5,1,6,well_05_rep_06,2026-03-13T12:53:34.504633,223.108,146.566,54.675,67.653,23.701,59.345,30.907,76.987,90.739
6,2,1,well_06_rep_01,2026-03-13T12:53:44.809565,216.292,205.082,29.536,80.748,-12.131,75.269,56.0,82.286,84.707
6,2,2,well_06_rep_02,2026-03-13T12:53:54.409845,216.512,203.949,37.458,80.795,-12.378,75.417,56.0,82.584,84.904
6,2,3,well_06_rep_03,2026-03-13T12:54:04.010143,216.711,203.855,38.606,80.712,-12.018,75.229,56.0,83.047,84.864
6,2,4,well_06_rep_04,2026-03-13T12:54:13.593302,216.59,203.981,36.915,80.736,-12.047,75.213,56.0,82.374,84.868
6,2,5,well_06_rep_05,2026-03-13T12:54:23.193129,216.475,203.855,39.03,80.747,-12.064,75.152,56.0,82.265,84.89
6,2,6,well_06_rep_06,2026-03-13T12:54:32.793178,216.49,203.926,38.273,80.766,-12.149,75.254,56.0,82.403,84.947
7,2,1,well_07_rep_01,2026-03-13T12:54:43.097566,211.269,196.499,22.9,78.322,-11.472,76.338,55.148,89.418,82.825
7,2,2,well_07_rep_02,2026-03-13T12:54:52.697876,210.913,196.77,25.059,78.273,-11.031,76.187,55.092,89.436,82.793
7,2,3,well_07_rep_03,2026-03-13T12:55:02.297135,210.706,197.19,22.001,78.325,-11.041,76.294,55.312,89.396,82.632
7,2,4,well_07_rep_04,2026-03-13T12:55:11.881203,210.764,196.962,22.102,78.291,-10.953,76.493,55.404,88.23,82.55
7,2,5,well_07_rep_05,2026-03-13T12:55:21.481161,211.096,196.519,23.239,78.34,-10.954,76.269,55.146,88.795,82.706
7,2,6,well_07_rep_06,2026-03-13T12:55:31.081456,210.918,196.832,23.066,78.287,-11.206,76.473,54.701,88.737,82.972
8,2,1,well_08_rep_01,2026-03-13T12:55:42.553127,202.071,183.345,3.307,74.055,-7.29,75.791,53.605,99.868,80.148
8,2,2,well_08_rep_02,2026-03-13T12:55:52.153264,203.859,182.803,0.363,73.963,-7.596,75.744,53.827,99.897,79.811
8,2,3,well_08_rep_03,2026-03-13T12:56:01.752646,203.879,182.675,0.236,73.281,-9.001,74.969,53.777,99.903,79.904
8,2,4,well_08_rep_04,2026-03-13T12:56:11.336789,203.39,182.848,0.306,74.007,-7.483,75.773,53.657,99.914,79.941
8,2,5,well_08_rep_05,2026-03-13T12:56:20.936704,203.938,182.277,0.249,74.014,-7.517,75.801,53.716,99.89,79.891
8,2,6,well_08_rep_06,2026-03-13T12:56:30.537812,199.615,181.668,0.152,73.845,-7.671,75.558,53.732,99.895,79.924
9,2,1,well_09_rep_01,2026-03-13T12:56:40.841627,218.515,183.866,0.481,75.97,1.528,77.979,48.203,99.764,87.9
9,2,2,well_09_rep_02,2026-03-13T12:56:50.441854,224.255,182.3,0.56,75.739,1.893,77.682,48.413,99.716,87.662
9,2,3,well_09_rep_03,2026-03-13T12:57:00.024827,224.492,182.49,0.911,75.911,1.879,77.817,48.171,99.69,88.068
9,2,4,well_09_rep_04,2026-03-13T12:57:09.625336,224.583,182.444,0.644,75.925,1.911,77.827,48.421,99.693,88.159
9,2,5,well_09_rep_05,2026-03-13T12:57:19.225375,224.705,182.816,0.638,75.891,1.893,77.807,48.132,99.684,88.085
9,2,6,well_09_rep_06,2026-03-13T12:57:28.825878,224.777,182.435,0.719,75.897,1.939,77.812,48.309,99.721,88.063
10,2,1,well_10_rep_01,2026-03-13T12:57:39.128984,222.23,172.804,0.34,73.338,5.637,75.99,46.722,99.858,87.318
10,2,2,well_10_rep_02,2026-03-13T12:57:48.729429,222.783,172.887,0.306,73.228,6.097,75.981,46.604,99.861,87.238
10,2,3,well_10_rep_03,2026-03-13T12:57:58.313527,222.979,172.796,0.314,73.336,5.796,75.996,46.922,99.801,87.267
10,2,4,well_10_rep_04,2026-03-13T12:58:07.916367,222.98,172.822,0.412,73.424,5.449,76.005,46.346,99.834,87.608
10,2,5,well_10_rep_05,2026-03-13T12:58:17.513473,223.056,172.854,0.361,73.265,5.775,75.977,46.592,99.848,87.35
10,2,6,well_10_rep_06,2026-03-13T12:58:27.113172,222.614,173.203,0.373,73.198,6.331,75.996,46.491,99.841,87.281
11,2,1,well_11_rep_01,2026-03-13T12:58:37.416984,225.859,167.615,0.296,72.638,9.713,75.678,44.547,99.882,88.316
11,2,2,well_11_rep_02,2026-03-13T12:58:47.001999,225.824,168.295,0.289,72.552,9.787,75.64,44.191,99.891,88.574
11,2,3,well_11_rep_03,2026-03-13T12:58:56.601052,225.571,168.153,0.256,72.528,9.878,75.641,44.263,99.904,88.565
11,2,4,well_11_rep_04,2026-03-13T12:59:06.201078,226.074,168.004,0.287,72.583,9.755,75.639,44.03,99.903,88.702
11,2,5,well_11_rep_05,2026-03-13T12:59:15.800840,226.126,168.534,0.264,72.504,9.867,75.63,44.053,99.875,88.589
11,2,6,well_11_rep_06,2026-03-13T12:59:25.401814,225.916,168.479,0.335,72.558,10.08,75.689,44.538,99.881,88.434
12,3,1,well_12_rep_01,2026-03-13T12:59:36.874077,32.028,158.731,76.43,57.445,-51.571,34.086,139.909,79.551,62.025
12,3,2,well_12_rep_02,2026-03-13T12:59:46.474124,32.189,158.276,74.711,57.49,-51.953,34.665,139.887,79.795,62.079
12,3,3,well_12_rep_03,2026-03-13T12:59:56.057622,32.072,158.689,74.411,57.46,-51.852,34.519,139.988,79.674,62.153
12,3,4,well_12_rep_04,2026-03-13T13:00:05.657390,32.467,158.27,74.15,57.439,-51.542,34.176,139.935,79.844,62.109
12,3,5,well_12_rep_05,2026-03-13T13:00:15.257986,32.555,158.433,74.143,57.417,-51.635,34.25,139.79,79.673,62.071
12,3,6,well_12_rep_06,2026-03-13T13:00:24.617278,32.089,158.492,74.584,57.463,-51.796,34.428,139.96,79.544,62.144
13,3,1,well_13_rep_01,2026-03-13T13:00:34.922199,41.245,166.615,56.639,59.552,-53.907,47.021,120.987,68.669,64.573
13,3,2,well_13_rep_02,2026-03-13T13:00:44.522435,51.464,164.658,52.698,59.761,-53.304,46.978,120.764,68.883,64.552
13,3,3,well_13_rep_03,2026-03-13T13:00:54.121268,51.508,164.552,53.046,59.798,-53.444,47.294,120.481,68.898,64.558
13,3,4,well_13_rep_04,2026-03-13T13:01:03.706251,51.682,164.541,53.776,59.699,-53.187,46.948,120.482,69.024,64.566
13,3,5,well_13_rep_05,2026-03-13T13:01:13.305789,51.596,164.436,53.393,59.702,-53.334,47.092,121.818,69.073,64.531
13,3,6,well_13_rep_06,2026-03-13T13:01:22.906023,51.715,164.378,52.995,59.673,-53.643,47.39,120.857,68.654,64.496
14,3,1,well_14_rep_01,2026-03-13T13:01:33.210550,46.744,162.33,58.1,58.665,-52.248,41.251,128.373,71.563,63.385
14,3,2,well_14_rep_02,2026-03-13T13:01:42.811327,46.605,161.744,62.791,58.885,-52.743,42.246,128.168,71.175,63.419
14,3,3,well_14_rep_03,2026-03-13T13:01:52.409773,46.465,161.934,62.789,58.794,-52.414,41.775,128.336,71.383,63.423
14,3,4,well_14_rep_04,2026-03-13T13:02:01.994126,45.813,162.374,61.864,58.689,-52.374,41.606,128.382,71.376,63.568
14,3,5,well_14_rep_05,2026-03-13T13:02:11.593841,45.636,162.391,62.887,58.875,-52.476,41.473,128.059,71.827,63.623
