channel,channel_type,R2_v_R,R2_v_Y,R2_v_B,R2_aggregate
RGB_R,raw,0.28328842025934875,0.38294042881980617,0.9843439636932615,0.9858172585040905
RGB_G,raw,0.41748805096137054,0.35345599382221515,0.0006708960196665226,0.5823532113595862
RGB_B,raw,0.0024743719937520003,0.3827755730354244,0.3666002807518287,0.453535356517089
LAB_L,raw,0.006061159996133103,0.5966486348574068,0.4144926066332849,0.6305269541861661
LAB_A,raw,0.5898999723696072,0.10095930621478055,0.8204515210847434,0.951116382005259
LAB_B,raw,0.02448727069736656,0.7225030993307373,0.8144368176410932,0.9329084852689578
HSV_H,raw,0.37578131335715226,0.24395365822469428,0.888585949085786,0.91438937157528
HSV_S,raw,0.0038761818960160177,0.3657623304903588,0.36335451112251604,0.44108536825553324
HSV_V,raw,0.2374714724861272,0.17542049283735883,0.5979983542000411,0.6109391048088608
R',normalized,0.4465424657894541,0.21079225201746055,0.9121809112369216,0.9594000293002981
G',normalized,0.4254658720558413,0.15233260618640843,0.7733000077600117,0.8322982382939729
B',normalized,0.04643153633855057,0.07140201327847273,0.17382089034578485,0.1738652792890516
L',normalized,0.00606105439017024,0.596656164014588,0.4144990434961232,0.6305353662495317
C',normalized,0.002883172126236011,0.2653933746111623,0.18315225190943596,0.28000606529559413
h',normalized,0.5481456957056382,0.13065530274944503,0.8530074566694035,0.9548259330485401
H',normalized,0.375781790924666,0.24395425536667292,0.8885875793160221,0.9143909849124585
S',normalized,0.0038753440055101507,0.3657710042343163,0.36335591538801715,0.44109149228053823
V',normalized,0.23747320755180035,0.1754127079078882,0.5979874190744814,0.6109295746253103
