group_id,well_index,color_space,channel,value
1,0,RGB,R',0.7906344663881807
1,0,RGB,G',0.2063819105740756
1,0,RGB,B',0.0029836230377437265
1,1,RGB,R',0.7643218672929483
1,1,RGB,G',0.22934242759586623
1,1,RGB,B',0.006335705111185378
1,2,RGB,R',0.7549136105723553
1,2,RGB,G',0.2380577848630766
1,2,RGB,B',0.007028604564568147
1,3,RGB,R',0.7841866744900057
1,3,RGB,G',0.2077593075834923
1,3,RGB,B',0.008054017926502045
1,4,RGB,R',0.7121887814718016
1,4,RGB,G',0.25786045994270207
1,4,RGB,B',0.0299507585854964
1,5,RGB,R',0.6893317310748628
1,5,RGB,G',0.27419644878213584
1,5,RGB,B',0.036471820143001335
2,6,RGB,R',0.5257508046088906
2,6,RGB,G',0.46039989609371695
2,6,RGB,B',0.013849299297392488
2,7,RGB,R',0.5350858082112937
2,7,RGB,G',0.4578439196385907
2,7,RGB,B',0.0070702721501155665
2,8,RGB,R',0.5582555125141981
2,8,RGB,G',0.44152584182031795
2,8,RGB,B',0.00021864566548369694
2,9,RGB,R',0.6111475699423252
2,9,RGB,G',0.388687735297677
2,9,RGB,B',0.00016469475999774644
2,10,RGB,R',0.638168617859875
2,10,RGB,G',0.3617390331828998
2,10,RGB,B',9.234895722529346e-05
2,11,RGB,R',0.6593037189770331
2,11,RGB,G',0.34062046399288687
2,11,RGB,B',7.581703008011316e-05
3,12,RGB,R',0.03410342942130732
3,12,RGB,G',0.802929151190275
3,12,RGB,B',0.16296741938841783
3,13,RGB,R',0.07150205681491666
3,13,RGB,G',0.84610072518431
3,13,RGB,B',0.08239721800077335
3,14,RGB,R',0.06298242838776866
3,14,RGB,G',0.827722583526949
3,14,RGB,B',0.10929498808528229
3,15,RGB,R',0.052069547980872585
3,15,RGB,G',0.8314114962055876
3,15,RGB,B',0.11651895581353976
3,16,RGB,R',0.05901410514499508
3,16,RGB,G',0.8538558966184452
3,16,RGB,B',0.08712999823655984
3,17,RGB,R',0.07547755889319484
3,17,RGB,G',0.8252801786597214
3,17,RGB,B',0.0992422624470838
4,18,RGB,R',0.5904266814413486
4,18,RGB,G',0.382092873720568
4,18,RGB,B',0.02748044483808333
4,19,RGB,R',0.40721247761792967
4,19,RGB,G',0.28491247380971796
4,19,RGB,B',0.30787504857235237
4,20,RGB,R',0.3776108718307898
4,20,RGB,G',0.3163012321787927
4,20,RGB,B',0.3060878959904176
4,21,RGB,R',0.4025133135184035
4,21,RGB,G',0.3092314769415592
4,21,RGB,B',0.28825520954003725
4,22,RGB,R',0.34342242230374104
4,22,RGB,G',0.2901448953507765
4,22,RGB,B',0.36643268234548254
4,23,RGB,R',0.4833586287966702
4,23,RGB,G',0.4170040413513324
4,23,RGB,B',0.09963732985199746
1,0,LAB,L',0.6049716666666667
1,0,LAB,C',0.9501624149817351
1,0,LAB,h',0.1786434092503784
1,1,LAB,L',0.6480383333333333
1,1,LAB,C',0.9638137658890334
1,1,LAB,h',0.18363443571700297
1,2,LAB,L',0.6557116666666667
1,2,LAB,C',0.9575995405567567
1,2,LAB,h',0.18651154587232793
1,3,LAB,L',0.6399766666666666
1,3,LAB,C',0.9729923770607287
1,3,LAB,h',0.1734020157843964
1,4,LAB,L',0.6336366666666666
1,4,LAB,C',0.7923181976275844
1,4,LAB,h',0.188537759738108
1,5,LAB,L',0.6771033333333334
1,5,LAB,C',0.8036174194245818
1,5,LAB,h',0.19391192732407822
2,6,LAB,L',0.8075066666666667
2,6,LAB,C',0.9897303471623574
2,6,LAB,h',0.2754368565482052
2,7,LAB,L',0.7830633333333334
2,7,LAB,C',1.0
2,7,LAB,h',0.27299912677236715
2,8,LAB,L',0.7386083333333333
2,8,LAB,C',0.9868218282101381
2,8,LAB,h',0.2662775473578814
2,9,LAB,L',0.7588883333333334
2,9,LAB,C',1.0
2,9,LAB,h',0.246236602845231
2,10,LAB,L',0.7329816666666666
2,10,LAB,C',0.9895786917095406
2,10,LAB,h',0.23777710309631506
2,11,LAB,L',0.725605
2,11,LAB,C',0.9905584521905703
2,11,LAB,h',0.22940083628466792
3,12,LAB,L',0.5745233333333334
3,12,LAB,C',0.8062249719371956
3,12,LAB,h',0.40669206563926286
3,13,LAB,L',0.596975
3,13,LAB,C',0.9253623316388578
3,13,LAB,h',0.3850326631260932
3,14,LAB,L',0.5879866666666667
3,14,LAB,C',0.8697287067417456
3,14,LAB,h',0.3931806751320592
3,15,LAB,L',0.58379
3,15,LAB,C',0.8698636219167087
3,15,LAB,h',0.3957758148360357
3,16,LAB,L',0.5495683333333333
3,16,LAB,C',0.8718220095922247
3,16,LAB,h',0.38787905651011667
3,17,LAB,L',0.5831983333333333
3,17,LAB,C',0.8716629886098652
3,17,LAB,h',0.38893313830614884
4,18,LAB,L',0.59664
4,18,LAB,C',0.8299141250429357
4,18,LAB,h',0.24914593622283357
4,19,LAB,L',0.58418
4,19,LAB,C',0.8144328943236836
4,19,LAB,h',0.2575153172060853
4,20,LAB,L',0.521695
4,20,LAB,C',0.7478649270541943
4,20,LAB,h',0.27201133655734505
4,21,LAB,L',0.5480733333333333
4,21,LAB,C',0.7761216854345291
4,21,LAB,h',0.2642000063089818
4,22,LAB,L',0.5466316666666666
4,22,LAB,C',0.777477160386525
4,22,LAB,h',0.2723949235023961
4,23,LAB,L',0.5423416666666666
4,23,LAB,C',0.7737147836666867
4,23,LAB,h',0.2759150333586594
1,0,HSV,H',0.09072824074074075
1,0,HSV,S',0.9682100000000001
1,0,HSV,V',0.8523166666666667
1,1,HSV,H',0.0904398148148148
1,1,HSV,S',0.91978
1,1,HSV,V',0.900395
1,2,HSV,H',0.0936439814814815
1,2,HSV,S',0.91086
1,2,HSV,V',0.9024733333333335
1,3,HSV,H',0.08228611111111112
1,3,HSV,S',0.8988383333333333
1,3,HSV,V',0.9146683333333333
1,4,HSV,H',0.08792685185185185
1,4,HSV,S',0.7773333333333333
1,4,HSV,V',0.8396399999999999
1,5,HSV,H',0.09106990740740742
1,5,HSV,S',0.7530583333333333
1,5,HSV,V',0.8845933333333333
2,6,HSV,H',0.15555555555555556
2,6,HSV,S',0.8249316666666666
2,6,HSV,V',0.8486333333333334
2,7,HSV,H',0.15314953703703704
2,7,HSV,S',0.8900200000000001
2,7,HSV,V',0.8274633333333334
2,8,HSV,H',0.14921944444444443
2,8,HSV,S',0.998945
2,8,HSV,V',0.7993650000000001
2,9,HSV,H',0.13409675925925926
2,9,HSV,S',0.9971133333333334
2,9,HSV,V',0.8798950000000001
2,10,HSV,H',0.1294800925925926
2,10,HSV,S',0.9984050000000001
2,10,HSV,V',0.8734366666666666
2,11,HSV,H',0.12297314814814815
2,11,HSV,S',0.9988933333333334
2,11,HSV,V',0.8852999999999999
3,12,HSV,H',0.3886430555555556
3,12,HSV,S',0.7968016666666666
3,12,HSV,V',0.6209683333333333
3,13,HSV,H',0.33582824074074075
3,13,HSV,S',0.6886683333333333
3,13,HSV,V',0.64546
3,14,HSV,H',0.35631712962962964
3,14,HSV,S',0.71407
3,14,HSV,V',0.6349933333333333
3,15,HSV,H',0.36552129629629626
3,15,HSV,S',0.7531433333333333
3,15,HSV,V',0.6318033333333333
3,16,HSV,H',0.34595601851851854
3,16,HSV,S',0.7312533333333333
3,16,HSV,V',0.5928033333333333
3,17,HSV,H',0.345674074074074
3,17,HSV,S',0.6851900000000001
3,17,HSV,V',0.629005
4,18,HSV,H',0.13715416666666666
4,18,HSV,S',0.9994083333333333
4,18,HSV,V',0.6722283333333333
4,19,HSV,H',0.1440087962962963
4,19,HSV,S',0.9960316666666666
4,19,HSV,V',0.6375116666666667
4,20,HSV,H',0.15481666666666666
4,20,HSV,S',0.9961566666666666
4,20,HSV,V',0.5368183333333334
4,21,HSV,H',0.14917407407407407
4,21,HSV,S',0.99606
4,21,HSV,V',0.580855
4,22,HSV,H',0.15454537037037036
4,22,HSV,S',0.9961716666666667
4,22,HSV,V',0.5618683333333333
4,23,HSV,H',0.1575314814814815
4,23,HSV,S',0.9982983333333334
4,23,HSV,V',0.5488483333333334
