well_index,group_id,replicate_id,measurement_id,timestamp,RGB_R,RGB_G,RGB_B,LAB_L,LAB_A,LAB_B,HSV_H,HSV_S,HSV_V
0,1,1,well_00_rep_01,2026-02-24T14:19:57.150629,218.262,142.993,0.632,65.568,16.431,70.205,41.969,99.769,82.14
0,1,2,well_00_rep_02,2026-02-24T14:20:06.750944,209.607,147.969,0.668,65.539,13.954,70.062,41.881,99.745,82.2
0,1,3,well_00_rep_03,2026-02-24T14:20:16.351345,209.401,147.621,0.73,65.621,13.756,70.028,41.818,99.703,82.28
0,1,4,well_00_rep_04,2026-02-24T14:20:25.933968,209.511,147.829,0.682,65.566,13.964,70.029,41.958,99.714,82.141
0,1,5,well_00_rep_05,2026-02-24T14:20:35.534097,209.377,148.005,0.594,65.639,13.593,70.049,41.973,99.747,82.221
0,1,6,well_00_rep_06,2026-02-24T14:20:45.133898,209.582,147.894,0.678,65.639,13.727,70.129,42.014,99.698,82.194
1,1,1,well_01_rep_01,2026-02-24T14:20:55.437922,223.7,168.126,5.252,72.134,9.485,74.829,44.689,98.57,87.859
1,1,2,well_01_rep_02,2026-02-24T14:21:05.038258,224.049,167.888,3.711,72.114,9.622,74.911,44.655,98.385,87.796
1,1,3,well_01_rep_03,2026-02-24T14:21:14.638405,224.632,167.01,4.338,72.038,9.718,74.745,44.287,98.201,88.128
1,1,4,well_01_rep_04,2026-02-24T14:21:24.222943,224.488,167.244,3.221,72.037,10.484,74.905,44.452,98.338,88.072
1,1,5,well_01_rep_05,2026-02-24T14:21:33.822933,224.139,167.347,2.302,72.08,9.663,74.944,44.308,99.059,88.219
1,1,6,well_01_rep_06,2026-02-24T14:21:43.422809,224.638,167.393,2.941,72.052,10.231,74.866,44.444,98.73,88.014
2,1,1,well_02_rep_01,2026-02-24T14:21:53.726768,221.214,167.996,4.022,71.958,7.747,74.705,45.228,98.159,86.768
2,1,2,well_02_rep_02,2026-02-24T14:22:03.326924,221.501,167.561,4.289,71.813,8.049,74.541,44.928,97.872,86.816
2,1,3,well_02_rep_03,2026-02-24T14:22:12.910398,221.607,167.697,3.522,71.854,8.023,74.537,44.936,97.949,86.928
2,1,4,well_02_rep_04,2026-02-24T14:22:22.510412,221.718,167.397,3.537,71.728,8.4,74.419,44.961,98.22,86.831
2,1,5,well_02_rep_05,2026-02-24T14:22:32.111251,221.676,167.366,3.45,71.769,8.588,74.586,44.989,98.377,86.908
2,1,6,well_02_rep_06,2026-02-24T14:22:41.718956,221.972,167.268,3.381,71.688,8.389,74.564,44.706,98.036,86.975
3,1,1,well_03_rep_01,2026-02-24T14:22:52.015556,210.768,170.954,0.722,71.454,-1.41,73.776,50.54,99.258,80.698
3,1,2,well_03_rep_02,2026-02-24T14:23:01.615114,205.77,172.115,1.821,71.47,-1.682,73.75,50.643,99.074,80.456
