group_id,color_space,channel,group_mean,group_std,measurement_uncertainty,process_uncertainty,uncertainty_ratio,measurement_cv_percent,process_cv_percent,num_wells,num_measurements
1,RGB,R,213.081,8.934,1.614,9.424,5.839,0.78,4.42,6,36
1,RGB,G,166.941,9.659,0.992,10.356,10.443,0.61,6.2,6,36
1,RGB,B,8.94,10.21,1.135,10.89,9.594,18.26,121.81,6,36
1,LAB,L,70.774,2.593,0.25,2.773,11.076,0.35,3.92,6,36
1,LAB,A,4.656,6.634,0.638,7.121,11.169,1.61,152.93,6,36
1,LAB,B,72.625,1.893,0.109,2.041,18.707,0.15,2.81,6,36
1,HSV,H,46.777,3.42,0.436,3.614,8.285,0.88,7.73,6,36
1,HSV,S,95.61,4.995,0.418,5.351,12.79,0.45,5.6,6,36
1,HSV,V,83.337,3.701,0.41,3.919,9.548,0.52,4.7,6,36
2,RGB,R,241.524,4.135,1.195,4.153,3.476,0.5,1.72,6,36
2,RGB,G,98.451,16.793,0.713,18.113,25.419,0.7,18.4,6,36
2,RGB,B,19.642,20.93,0.368,22.604,61.376,12.49,115.08,6,36
2,LAB,L,59.816,3.036,0.101,3.275,32.393,0.16,5.47,6,36
2,LAB,A,51.571,7.811,0.176,8.435,47.808,0.34,16.36,6,36
2,LAB,B,63.96,4.312,0.162,4.653,28.699,0.27,7.28,6,36
2,HSV,H,21.536,1.506,0.157,1.614,10.279,0.72,7.49,6,36
2,HSV,S,91.911,8.698,0.135,9.394,69.753,0.16,10.22,6,36
2,HSV,V,94.72,1.472,0.11,1.584,14.459,0.12,1.67,6,36
3,RGB,R,222.743,8.869,1.219,9.438,7.741,0.55,4.24,6,36
3,RGB,G,179.642,7.265,0.395,7.829,19.798,0.22,4.36,6,36
3,RGB,B,0.281,0.133,0.044,0.134,3.058,16.91,47.65,6,36
3,LAB,L,75.005,2.107,0.037,2.276,60.858,0.05,3.03,6,36
3,LAB,A,2.488,5.026,0.117,5.427,46.331,2.35,218.09,6,36
3,LAB,B,77.231,1.731,0.045,1.869,41.452,0.06,2.42,6,36
3,HSV,H,48.443,2.783,0.049,3.005,61.777,0.1,6.2,6,36
3,HSV,S,99.888,0.053,0.016,0.054,3.286,0.02,0.05,6,36
3,HSV,V,87.523,3.42,0.111,3.692,33.2,0.13,4.22,6,36
4,RGB,R,99.658,9.454,1.352,10.066,7.443,1.4,10.1,6,36
4,RGB,G,163.921,8.84,0.399,9.537,23.902,0.25,5.82,6,36
4,RGB,B,13.165,11.992,1.564,12.789,8.178,19.45,97.14,6,36
4,LAB,L,61.032,3.256,0.054,3.516,64.771,0.09,5.76,6,36
4,LAB,A,-41.773,1.327,0.232,1.41,6.092,-0.56,-3.38,6,36
4,LAB,B,60.51,0.861,0.129,0.917,7.095,0.22,1.52,6,36
4,HSV,H,85.58,1.676,0.177,1.8,10.156,0.21,2.1,6,36
4,HSV,S,92.422,6.84,0.225,7.383,32.88,0.24,7.99,6,36
4,HSV,V,64.299,3.434,0.071,3.708,52.056,0.11,5.77,6,36
