dataset,method,composition_regime,group_id,channel,measurement_std,process_std,measurement_norm_std,process_norm_std,process_over_measurement
Automated 5:2:2,automated,5:2:2,1,RGB_R,2.802096899439477,9.899581144197757,0.010988615291919517,0.0388218868399912,3.5329189173215387
Automated 5:2:2,automated,5:2:2,2,RGB_R,5.522628289925872,13.084288615408028,0.021657365842846558,0.05131093574669815,2.3692140641215693
Automated 5:2:2,automated,5:2:2,3,RGB_R,1.856543178307379,13.313923793032105,0.007280561483558348,0.05221146585502786,7.171351546571885
Automated 5:2:2,automated,5:2:2,4,RGB_R,3.901021389591825,57.402171995467405,0.01529812309643853,0.22510655684497022,14.714651949517652
Automated 5:2:2,automated,5:2:2,1,RGB_G,3.5057612974690078,5.004801187082487,0.013748083519486304,0.019626671321892105,1.4275932564763363
Automated 5:2:2,automated,5:2:2,2,RGB_G,4.163155720993167,12.239294811180915,0.01632610086663987,0.047997234553650646,2.9399080004293223
Automated 5:2:2,automated,5:2:2,3,RGB_G,2.5084085393303,7.5516928379962796,0.009836896232667845,0.02961448171763247,3.010551399259885
Automated 5:2:2,automated,5:2:2,4,RGB_G,4.309068164941842,11.00677073159802,0.016898306529183695,0.043163806790580475,2.55432736505494
Automated 5:2:2,automated,5:2:2,1,RGB_B,3.080582239958199,7.218687759071098,0.012080714666502741,0.028308579447337636,2.3432868194322416
Automated 5:2:2,automated,5:2:2,2,RGB_B,4.398883403790352,15.916623278620321,0.017250523152119026,0.06241813050439342,3.6183326125228885
Automated 5:2:2,automated,5:2:2,3,RGB_B,1.3913069470693016,10.203635280116082,0.0054561056747815745,0.040014256000455224,7.3338491564419925
Automated 5:2:2,automated,5:2:2,4,RGB_B,3.73897484359802,26.8583724957828,0.014662646445482432,0.10532695096385411,7.183352020078572
Automated 5:2:2,automated,5:2:2,1,LAB_L,1.5907902391681905,2.0294950302421957,0.015907902391681904,0.020294950302421958,1.2757778997332796
Automated 5:2:2,automated,5:2:2,2,LAB_L,1.553652479981751,4.429776451177577,0.01553652479981751,0.044297764511775764,2.851201609274687
Automated 5:2:2,automated,5:2:2,3,LAB_L,0.9400741563226731,3.0501916705105354,0.009400741563226732,0.030501916705105353,3.2446287880544404
Automated 5:2:2,automated,5:2:2,4,LAB_L,2.5099794255899597,6.4792192710976355,0.0250997942558996,0.06479219271097636,2.5813834189396685
Automated 5:2:2,automated,5:2:2,1,LAB_A,0.5342929329498297,3.187369475177971,0.0020952664037248224,0.012499488137952828,5.965584192889308
Automated 5:2:2,automated,5:2:2,2,LAB_A,0.8719815960424327,3.5743625239723213,0.003419535670754638,0.014017107937146358,4.099126105636734
Automated 5:2:2,automated,5:2:2,3,LAB_A,0.5340909125483179,2.1131388144355485,0.0020944741668561485,0.008286818880139405,3.956515201415973
Automated 5:2:2,automated,5:2:2,4,LAB_A,0.8109640408778844,15.059579157989136,0.003180251140697586,0.059057173168584845,18.569971538672476
Automated 5:2:2,automated,5:2:2,1,LAB_B,0.7176142225408957,1.6271487901188337,0.0028141734217290025,0.006380975647524838,2.2674422259323395
Automated 5:2:2,automated,5:2:2,2,LAB_B,0.7017678329265817,2.9776812562611346,0.0027520307173591442,0.011677181397102488,4.243114483950216
Automated 5:2:2,automated,5:2:2,3,LAB_B,0.8320872386644377,1.0950578764511847,0.003263087210448775,0.004294344613534057,1.3160373402779673
Automated 5:2:2,automated,5:2:2,4,LAB_B,0.7731206383255379,12.958498778686604,0.0030318456404923055,0.05081764226935923,16.761289424057736
Automated 5:2:2,automated,5:2:2,1,HSV_H,0.7874469892407506,6.527236050807644,0.002187352747890974,0.018131211252243453,8.289111698936264
Automated 5:2:2,automated,5:2:2,2,HSV_H,1.196750633683562,3.0555254147503166,0.0033243073157876724,0.008487570596528658,2.5531847059445476
Automated 5:2:2,automated,5:2:2,3,HSV_H,0.4691264819689582,2.5795049368908822,0.0013031291165804394,0.007165291491363562,5.498527659458727
Automated 5:2:2,automated,5:2:2,4,HSV_H,1.4592279910723127,77.75593712034447,0.00405341108631198,0.21598871422317908,53.285667213116966
Automated 5:2:2,automated,5:2:2,1,HSV_S,0.982374206560593,2.2313288104143645,0.00982374206560593,0.022313288104143646,2.2713633923945413
Automated 5:2:2,automated,5:2:2,2,HSV_S,1.7564467271744515,3.258175547188378,0.017564467271744516,0.03258175547188378,1.8549811370765097
Automated 5:2:2,automated,5:2:2,3,HSV_S,0.42926283816983873,2.4047155789699426,0.004292628381698387,0.024047155789699425,5.601965428040412
Automated 5:2:2,automated,5:2:2,4,HSV_S,2.073184543906472,16.258963986885878,0.02073184543906472,0.16258963986885877,7.8425068499928825
Automated 5:2:2,automated,5:2:2,1,HSV_V,0.6573511116660816,4.084172921394469,0.006573511116660816,0.04084172921394469,6.213076769647466
Automated 5:2:2,automated,5:2:2,2,HSV_V,2.1724490787113537,5.132729862435851,0.021724490787113537,0.05132729862435851,2.362646799289062
Automated 5:2:2,automated,5:2:2,3,HSV_V,0.6588383278985942,5.385116923745243,0.006588383278985942,0.05385116923745243,8.173654591288592
Automated 5:2:2,automated,5:2:2,4,HSV_V,2.420655205098095,7.803000059568732,0.024206552050980948,0.07803000059568732,3.2235074384550866
Manual 7:1:1,manual pipette,7:1:1,1,RGB_R,1.0369932760691818,10.479817157897507,0.004066640298310517,0.04109732218783336,10.105964425943258
Manual 7:1:1,manual pipette,7:1:1,2,RGB_R,0.6327191658872059,5.955025885442996,0.0024812516309302194,0.02335304268801175,9.411799430941517
Manual 7:1:1,manual pipette,7:1:1,3,RGB_R,1.6268540041148416,9.514922664727267,0.006379819623979771,0.03731342221461673,5.848664133758125
Manual 7:1:1,manual pipette,7:1:1,4,RGB_R,1.289991579330839,13.466963829814004,0.0050587905071797605,0.052811622862015704,10.439574990714094
Manual 7:1:1,manual pipette,7:1:1,1,RGB_G,0.527143058793503,4.965715732231695,0.0020672276815431488,0.01947339502835959,9.42005334111192
