channel,channel_type,coef_v_R,coef_v_Y,coef_v_B,response_strength
RGB_R,raw,0.3895738747945991,0.2529408065703682,-0.6425146813649676,0.7928253094600805
RGB_G,raw,-0.5959382506412724,0.3937875084516107,0.2021507421896618,0.7423448814114222
RGB_B,raw,0.2400118773945779,-0.299520195556792,0.0595083181622139,0.3884060874488762
LAB_L,raw,-0.3196894265832254,0.5683042775294704,-0.2486148509462449,0.697839827925025
LAB_A,raw,0.5785986700062317,-0.0195850083242938,-0.5590136616819377,0.8047709409708396
LAB_B,raw,-0.1876930006703188,0.5732046837719647,-0.3855116831016458,0.7158292602336189
HSV_H,raw,-0.5387821801689767,-0.0605942983529694,0.5993764785219462,0.8082141236491066
HSV_S,raw,-0.1706417786169808,0.3104844049199637,-0.1398426263029827,0.3808873093703521
HSV_V,raw,0.438870008838601,0.1869741129060862,-0.6258441217446874,0.7869225300354481
R',normalized,0.5499811601531415,0.0271089293336228,-0.5770900894867644,0.7976510151418681
G',normalized,-0.5206561581207955,-0.0878138364630396,0.6084699945838351,0.8056238819525626
B',normalized,-0.1957106323532846,0.4037784041417241,-0.2080677717884395,0.49460271827434005
L',normalized,-0.3196933689590646,0.5683032858562069,-0.2486099168971423,0.6978390685902891
C',normalized,0.3269234397130113,-0.0203884515580337,-0.3065349881549776,0.44861823787480315
h',normalized,-0.5728266233488781,0.0016004536760132,0.571226169672865,0.8089698627194831
H',normalized,-0.5387806250852059,-0.0605971058597624,0.5993777309449684,0.8082142262782334
S',normalized,-0.1706467626598851,0.3104860039563895,-0.1398392412965044,0.380889602989486
V',normalized,0.4388708666441319,0.1869734639741226,-0.6258443306182548,0.7869230203688703
