well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_H,measured_S,measured_V,output
1,0.8,0.05,0.15,0.0,5.97,51.21,22.65,4.189326587977028
2,0.15,0.4,0.45,0.0,232.26,17.44,69.09,15.646545516544448
3,0.0,0.5,0.5,0.0,139.22,93.67,13.75,6.133960003809329
4,0.65,0.35,0.0,0.0,122.78,11.35,92.47,20.20795255235011
5,0.0,0.8,0.2,0.0,315.84,25.79,66.0,14.196678647481864
6,0.7,0.0,0.3,0.0,294.2,55.52,52.97,9.514881971667862
7,0.95,0.0,0.05,0.0,87.07,9.31,89.72,19.961862452812756
8,0.0,0.05,0.95,0.0,324.15,63.31,33.9,5.570944823226301
9,0.75,0.1,0.15,0.0,125.72,72.6,89.71,16.79127015052396
10,0.0,0.2,0.8,0.0,319.35,77.99,64.2,11.948066094961414
11,0.05,0.0,0.95,0.0,30.29,16.16,89.86,19.27213720987198
12,0.8,0.15,0.05,0.0,218.31,0.92,10.15,12.632169368964696
13,0.8,0.0,0.2,0.0,238.86,0.51,16.08,12.844423605332025
14,0.0,0.6,0.4,0.0,197.54,69.19,65.2,11.846157701709162
15,0.0,0.1,0.9,0.0,80.74,71.22,23.72,3.8017476843277387
16,0.8,0.1,0.1,0.0,117.14,74.65,64.96,11.946057376989705
17,0.0,0.45,0.55,0.0,305.72,65.76,56.83,10.144996315629385
18,0.0,0.15,0.85,0.0,33.72,36.77,26.52,6.797922664567097
19,0.0,0.55,0.45,0.0,87.84,97.3,39.31,9.401502576698567
20,0.7,0.1,0.2,0.0,321.14,63.11,79.48,14.667426902892473
21,0.05,0.5,0.45,0.0,180.95,57.69,49.25,8.700848735087481
22,0.85,0.05,0.1,0.0,70.29,72.25,28.08,4.687185224742451
23,0.65,0.0,0.35,0.0,8.75,64.55,17.71,2.3542955559657903
Target,,,,,152.7558832687278,63.94777867889161,6.202454779433908,
